Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,60,0.009839985,4.18E-06,0.005152051,1.25E-06,20448.47436,4777566.895,940,0,10000,0,10000,1,0.388184,0,10000,0,0
6,0.01,0,10000,1,59,0.010026514,4.73E-06,0.005367322,1.35E-06,19984.56884,5221358.386,941,0,10000,0,10000,1,0.402985,0,10000,0,0
6,0.01,0,10000,1,67,0.009850616,5.17E-06,0.005175576,1.57E-06,20414.29279,5193706.963,933,0,10000,0,10000,1,0.409638,0,10000,0,0
6,0.01,0,10000,1,63,0.009696565,3.37E-06,0.005075175,1.01E-06,20485.85745,4539793.516,937,0,10000,0,10000,1,0.489094,0,10000,0,0
6,0.01,0,10000,1,58,0.009550838,5.15E-06,0.005065272,1.36E-06,20395.32623,4624761.58,942,0,10000,0,10000,1,0.488721,0,10000,0,0
6,0.01,0,10000,1,61,0.009991517,5.28E-06,0.005234754,1.47E-06,20356.74332,5264613.784,939,0,10000,0,10000,1,0.485796,0,10000,0,0
6,0.01,0,10000,1,57,0.009852547,5.06E-06,0.005191709,1.34E-06,20405.17359,4989902.746,943,0,10000,0,10000,1,0.394152,0,10000,0,0
6,0.01,0,10000,1,59,0.010076135,3.78E-06,0.005260554,1.09E-06,20612.28922,4874520.78,941,0,10000,0,10000,1,0.354783,0,10000,0,0
6,0.01,0,10000,1,62,0.010266167,4.32E-06,0.005397117,1.24E-06,20294.46574,3868794.392,938,0,10000,0,10000,1,0.345273,0,10000,0,0
6,0.01,0,10000,1,55,0.009894618,4.54E-06,0.005155938,1.23E-06,20521.66738,4013237.92,945,0,10000,0,10000,1,0.379605,0,10000,0,0
6,0.01,0,10000,1,53,0.0097413,4.49E-06,0.005181707,1.30E-06,20384.39767,5055135.722,947,0,10000,0,10000,1,0.390238,0,10000,0,0
6,0.01,0,10000,1,51,0.009913547,4.82E-06,0.005192105,1.33E-06,20481.4836,6457378.732,949,0,10000,0,10000,1,0.431969,0,10000,0,0
6,0.01,0,10000,1,48,0.009889206,3.86E-06,0.005311445,1.19E-06,20436.50633,5566582.258,952,0,10000,0,10000,1,0.404976,0,10000,0,0
6,0.01,0,10000,1,58,0.009732776,4.08E-06,0.005130941,1.15E-06,20259.30277,4150341.861,942,0,10000,0,10000,1,0.401597,0,10000,0,0
6,0.01,0,10000,1,58,0.009623023,4.11E-06,0.005095757,1.08E-06,20349.59915,3684773.087,942,0,10000,0,10000,1,0.45822,0,10000,0,0
6,0.01,0,10000,1,54,0.009656977,4.03E-06,0.005014328,1.15E-06,20640.49469,4591752.747,946,0,10000,0,10000,1,0.472722,0,10000,0,0
6,0.01,0,10000,1,59,0.01023044,4.83E-06,0.005411591,1.38E-06,20204.96585,4588713.186,941,0,10000,0,10000,1,0.381793,0,10000,0,0
6,0.01,0,10000,1,65,0.009970741,3.77E-06,0.005290094,1.13E-06,20093.10311,4236285.923,935,0,10000,0,10000,1,0.401555,0,10000,0,0
6,0.01,0,10000,1,55,0.009824058,4.19E-06,0.005080044,1.19E-06,20799.37407,4429082.476,945,0,10000,0,10000,1,0.419893,0,10000,0,0
6,0.01,0,10000,1,47,0.01005069,4.49E-06,0.005280198,1.25E-06,20450.04636,4862720.668,953,0,10000,0,10000,1,0.38622,0,10000,0,0
6,0.01,0,10000,1,62,0.00986726,4.54E-06,0.005155585,1.32E-06,20600.20771,5075872.323,938,0,10000,0,10000,1,0.328466,0,10000,0,0
6,0.01,0,10000,1,63,0.009876949,4.35E-06,0.005201847,1.37E-06,20494.24866,4781219.291,937,0,10000,0,10000,1,0.394275,0,10000,0,0
6,0.01,0,10000,1,60,0.009739994,3.88E-06,0.005120057,1.08E-06,20470.69658,4168126.859,940,0,10000,0,10000,1,0.368941,0,10000,0,0
6,0.01,0,10000,1,47,0.009919861,5.61E-06,0.005253835,1.59E-06,20370.76396,6050434.553,953,0,10000,0,10000,1,0.369644,0,10000,0,0
6,0.01,0,10000,1,48,0.009980993,4.73E-06,0.00527569,1.35E-06,20213.41245,5668444.839,952,0,10000,0,10000,1,0.405511,0,10000,0,0
6,0.01,0,10000,1,56,0.009402877,2.83E-06,0.00494947,8.36E-07,20591.59681,4227679.828,944,0,10000,0,10000,1,0.446557,0,10000,0,0
6,0.01,0,10000,1,52,0.00975257,4.09E-06,0.005136653,1.24E-06,20479.52436,6204274.351,948,0,10000,0,10000,1,0.404798,0,10000,0,0
6,0.01,0,10000,1,50,0.00998265,4.92E-06,0.005211554,1.28E-06,20393.63636,5674160.371,950,0,10000,0,10000,1,0.328879,0,10000,0,0
6,0.01,0,10000,1,63,0.009519719,4.61E-06,0.004998161,1.23E-06,20456.60772,4334826.391,937,0,10000,0,10000,1,0.449554,0,10000,0,0
6,0.01,0,10000,1,54,0.00965019,4.58E-06,0.00508805,1.38E-06,20305.14013,5986361.023,946,0,10000,0,10000,1,0.399972,0,10000,0,0
6,0.01,0,10000,1,63,0.009903127,4.80E-06,0.005157743,1.38E-06,20664.76635,4701621.375,937,0,10000,0,10000,1,0.366343,0,10000,0,0
6,0.01,0,10000,1,59,0.009572059,3.74E-06,0.005005679,1.02E-06,20474.16756,4487486.225,941,0,10000,0,10000,1,0.416544,0,10000,0,0
6,0.01,0,10000,1,59,0.009820465,4.67E-06,0.005162526,1.30E-06,20320.16115,5574718.387,941,0,10000,0,10000,1,0.471314,0,10000,0,0
6,0.01,0,10000,1,54,0.00996882,4.68E-06,0.005192634,1.31E-06,20333.73673,5880934.71,946,0,10000,0,10000,1,0.383893,0,10000,0,0
6,0.01,0,10000,1,58,0.010088103,5.11E-06,0.005324895,1.39E-06,20291.3145,4964279.761,942,0,10000,0,10000,1,0.347426,0,10000,0,0
6,0.01,0,10000,1,59,0.009846889,5.30E-06,0.005168388,1.37E-06,20571.40021,5318476.473,941,0,10000,0,10000,1,0.392132,0,10000,0,0
6,0.01,0,10000,1,53,0.010041997,4.76E-06,0.005298306,1.54E-06,20394.81336,5533452.748,947,0,10000,0,10000,1,0.425837,0,10000,0,0
6,0.01,0,10000,1,52,0.009904669,4.69E-06,0.005204282,1.33E-06,20395.52436,5362533.188,948,0,10000,0,10000,1,0.394315,0,10000,0,0
6,0.01,0,10000,1,51,0.010132859,5.30E-06,0.005340547,1.56E-06,20637.52487,5683928.916,949,0,10000,0,10000,1,0.434712,0,10000,0,0
6,0.01,0,10000,1,63,0.009945708,4.68E-06,0.005248725,1.35E-06,20216.10075,5743756.83,937,0,10000,0,10000,1,0.381517,0,10000,0,0
6,0.01,0,10000,1,62,0.009953445,4.64E-06,0.005280577,1.22E-06,20106.85653,4086107.699,938,0,10000,0,10000,1,0.349398,0,10000,0,0
6,0.01,0,10000,1,64,0.010131252,4.11E-06,0.005303547,1.18E-06,20362.83691,3847819.312,936,0,10000,0,10000,1,0.44001,0,10000,0,0
6,0.01,0,10000,1,61,0.009650324,4.29E-06,0.0050598,1.14E-06,20362.39037,4517951.806,939,0,10000,0,10000,1,0.441157,0,10000,0,0
6,0.01,0,10000,1,48,0.010148503,4.54E-06,0.005377354,1.52E-06,20489.07068,6644564.144,952,0,10000,0,10000,1,0.444818,0,10000,0,0
6,0.01,0,10000,1,64,0.01003922,4.40E-06,0.005281308,1.39E-06,20298.56974,4611456.091,936,0,10000,0,10000,1,0.42011,0,10000,0,0
6,0.01,0,10000,1,62,0.010197439,4.52E-06,0.005424395,1.30E-06,20248.47966,4595929.404,938,0,10000,0,10000,1,0.426537,0,10000,0,0
6,0.01,0,10000,1,56,0.009821097,4.11E-06,0.005136523,1.19E-06,20537.86489,5300427.798,944,0,10000,0,10000,1,0.453577,0,10000,0,0
6,0.01,0,10000,1,59,0.009640878,3.60E-06,0.005133416,1.09E-06,20278.70438,3440855.583,941,0,10000,0,10000,1,0.407912,0,10000,0,0
6,0.01,0,10000,1,55,0.009796414,4.10E-06,0.005181347,1.22E-06,20240.69182,4389585.369,945,0,10000,0,10000,1,0.361645,0,10000,0,0
6,0.01,0,10000,1,61,0.009765321,4.76E-06,0.005121989,1.59E-06,20284.57968,5381183.089,939,0,10000,0,10000,1,0.414737,0,10000,0,0
6,0.01,0,10000,1,60,0.010176282,4.75E-06,0.005332458,1.43E-06,20409.03312,4358522.594,940,0,10000,0,10000,1,0.426662,0,10000,0,0
6,0.01,0,10000,1,54,0.009715086,4.49E-06,0.005109487,1.19E-06,20147.83333,4164462.194,946,0,10000,0,10000,1,0.414439,0,10000,0,0
6,0.01,0,10000,1,52,0.009982863,4.85E-06,0.00522499,1.37E-06,20505.93008,5317049.031,948,0,10000,0,10000,1,0.372225,0,10000,0,0
6,0.01,0,10000,1,62,0.009761724,3.15E-06,0.005152519,9.09E-07,20347.8833,4806778.465,938,0,10000,0,10000,1,0.421347,0,10000,0,0
6,0.01,0,10000,1,61,0.009841929,3.59E-06,0.005141429,9.60E-07,20400.53155,4393268.379,939,0,10000,0,10000,1,0.467593,0,10000,0,0
6,0.01,0,10000,1,65,0.009699746,4.51E-06,0.00514948,1.29E-06,20150.61654,4103315.145,935,0,10000,0,10000,1,0.406575,0,10000,0,0
6,0.01,0,10000,1,49,0.009682825,4.15E-06,0.005051696,1.22E-06,20571.75396,6646852.2,951,0,10000,0,10000,1,0.376354,0,10000,0,0
6,0.01,0,10000,1,49,0.010060591,4.96E-06,0.005358163,1.55E-06,20411.21119,5419654.175,951,0,10000,0,10000,1,0.359766,0,10000,0,0
6,0.01,0,10000,1,60,0.010105567,4.69E-06,0.005377995,1.45E-06,20354.76282,5615017.585,940,0,10000,0,10000,1,0.431898,0,10000,0,0
6,0.01,0,10000,1,63,0.010067326,5.02E-06,0.005244278,1.37E-06,20504.22722,5619436.787,937,0,10000,0,10000,1,0.360582,0,10000,0,0
6,0.01,0,10000,1,66,0.009828086,4.04E-06,0.005083417,1.19E-06,20586.73011,4837280.122,934,0,10000,0,10000,1,0.374351,0,10000,0,0
6,0.01,0,10000,1,59,0.010027966,4.41E-06,0.0052539,1.29E-06,20569.28709,6574516.004,941,0,10000,0,10000,1,0.455226,0,10000,0,0
6,0.01,0,10000,1,49,0.010113318,4.90E-06,0.005355644,1.52E-06,20367.26082,6477380.7,951,0,10000,0,10000,1,0.450668,0,10000,0,0
6,0.01,0,10000,1,45,0.009549545,4.18E-06,0.005067468,1.26E-06,20418.78128,5983617.887,955,0,10000,0,10000,1,0.384806,0,10000,0,0
6,0.01,0,10000,1,45,0.009856323,4.09E-06,0.005189704,1.12E-06,20191.74763,5433413.316,955,0,10000,0,10000,1,0.409102,0,10000,0,0
6,0.01,0,10000,1,48,0.009753982,3.86E-06,0.005108615,1.15E-06,20489.6519,5227348.607,952,0,10000,0,10000,1,0.3341,0,10000,0,0
6,0.01,0,10000,1,62,0.00990386,4.11E-06,0.00520142,1.22E-06,20439.87687,4319832.412,938,0,10000,0,10000,1,0.373,0,10000,0,0
6,0.01,0,10000,1,57,0.010114223,4.86E-06,0.005323753,1.30E-06,20215.97125,3885028.741,943,0,10000,0,10000,1,0.371264,0,10000,0,0
6,0.01,0,10000,1,60,0.009847176,4.83E-06,0.005284493,1.58E-06,20235.80662,4427310.075,940,0,10000,0,10000,1,0.376088,0,10000,0,0
6,0.0125,0,10000,1,50,0.015849469,1.74E-05,0.007468247,3.54E-06,18641.19027,6744744.175,950,0,10000,0,10000,1,0.473474,0,10000,0,0
