Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,65,0.038896091,0.000184022,0.024127708,8.26E-05,11721.7594,18045131.32,935,0,10000,0,10000,1,0.401251,0,10000,0,0
6,0.01,0,10000,1,69,0.035490938,0.00016004,0.021533306,6.11E-05,12368.99676,13490066.81,931,0,10000,0,10000,1,0.189977,0,10000,0,0
6,0.01,0,10000,1,60,0.034807489,0.000129003,0.020750989,5.51E-05,12342,8555234.173,940,0,10000,0,10000,1,0.472596,0,10000,0,0
6,0.01,0,10000,1,63,0.034262354,0.000118058,0.020542497,4.82E-05,12343.03215,14550918.17,937,0,10000,0,10000,1,0.526293,0,10000,0,0
6,0.01,0,10000,1,62,0.038868829,0.00026286,0.023434865,0.000107417,11893.50321,18237700.83,938,0,10000,0,10000,1,0.543921,0,10000,0,0
6,0.01,0,10000,1,58,0.036668338,0.000203456,0.022622989,0.000107929,11784.77399,16032496.6,942,0,10000,0,10000,1,0.288565,0,10000,0,0
6,0.01,0,10000,1,57,0.033981327,0.000117609,0.019622258,3.89E-05,12274.61448,11183391.36,943,0,10000,0,10000,1,0.41585,0,10000,0,0
6,0.01,0,10000,1,63,0.032358511,9.55E-05,0.019009946,3.74E-05,12809.82422,11910999.57,937,0,10000,0,10000,1,0.540836,0,10000,0,0
6,0.01,0,10000,1,68,0.037273172,0.000150517,0.022759485,5.70E-05,11075.83836,9563161.937,932,0,10000,0,10000,1,0.420331,0,10000,0,0
6,0.01,0,10000,1,65,0.037252396,0.000236337,0.023036451,9.71E-05,13321.63158,24786036.5,935,0,10000,0,10000,1,0.402364,0,10000,0,0
6,0.01,0,10000,1,64,0.034091034,0.000156052,0.020995467,6.34E-05,13313.83155,23854413.4,936,0,10000,0,10000,1,0.462143,0,10000,0,0
6,0.01,0,10000,1,65,0.036106347,0.000169908,0.021621651,6.21E-05,11168.94737,7642985.152,935,0,10000,0,10000,1,0.382362,0,10000,0,0
6,0.01,0,10000,1,65,0.038583908,0.0003895,0.023298205,0.000148769,11791.37487,14514480.23,935,0,10000,0,10000,1,0.241104,0,10000,0,0
6,0.01,0,10000,1,59,0.036134083,0.00036145,0.022014178,0.000175289,12778.15048,16375220.23,941,0,10000,0,10000,1,0.460523,0,10000,0,0
6,0.01,0,10000,1,57,0.03437654,0.000122746,0.020597518,4.65E-05,12404.60064,12887891,943,0,10000,0,10000,1,0.404572,0,10000,0,0
6,0.01,0,10000,1,65,0.031987663,0.000121798,0.019560168,5.12E-05,14503.10311,33279478.77,935,0,10000,0,10000,1,0.332305,0,10000,0,0
6,0.01,0,10000,1,62,0.036485808,0.000176762,0.02220832,7.33E-05,11660.58779,11346302.64,938,0,10000,0,10000,1,0.262772,0,10000,0,0
6,0.01,0,10000,1,65,0.035930799,0.000117198,0.021852792,5.00E-05,11724.20516,13137305.12,935,0,10000,0,10000,1,0.371139,0,10000,0,0
6,0.01,0,10000,1,63,0.035228332,7.98E-05,0.021000305,3.08E-05,11565.65059,9186737.05,937,0,10000,0,10000,1,0.510355,0,10000,0,0
6,0.01,0,10000,1,68,0.033941281,0.000176369,0.020414639,8.49E-05,13226.38147,17728565.18,932,0,10000,0,10000,1,0.563415,0,10000,0,0
6,0.01,0,10000,1,70,0.03475074,9.88E-05,0.020746688,3.47E-05,12227.09503,11183118.63,930,0,10000,0,10000,1,0.372301,0,10000,0,0
6,0.01,0,10000,1,59,0.035361801,0.000180787,0.021343956,6.63E-05,12851.41729,16386269.34,941,0,10000,0,10000,1,0.418075,0,10000,0,0
6,0.01,0,10000,1,65,0.034992406,0.000154716,0.020788672,6.93E-05,12750.98604,12986342.12,935,0,10000,0,10000,1,0.338853,0,10000,0,0
6,0.01,0,10000,1,64,0.034337952,0.000119662,0.02014828,4.72E-05,13206.31545,13426589.84,936,0,10000,0,10000,1,0.429146,0,10000,0,0
6,0.01,0,10000,1,68,0.035574705,0.000144437,0.021277392,5.62E-05,12582.24461,18385074.99,932,0,10000,0,10000,1,0.285422,0,10000,0,0
6,0.01,0,10000,1,62,0.037365018,0.000204931,0.02264222,8.15E-05,11971.60278,12751517.31,938,0,10000,0,10000,1,0.252196,0,10000,0,0
6,0.01,0,10000,1,68,0.038493891,0.000448767,0.023312907,0.000207348,12285.25539,17158977.46,932,0,10000,0,10000,1,0.546584,0,10000,0,0
6,0.01,0,10000,1,66,0.034401775,0.000114228,0.020346292,4.61E-05,12526.59892,15889193.52,934,0,10000,0,10000,1,0.340726,0,10000,0,0
6,0.01,0,10000,1,62,0.03278485,0.000158377,0.019524232,6.33E-05,12816.58994,17618335.71,938,0,10000,0,10000,1,0.354518,0,10000,0,0
6,0.01,0,10000,1,70,0.034397598,8.05E-05,0.020600662,2.96E-05,12370.85421,9964580.654,930,0,10000,0,10000,1,0.325324,0,10000,0,0
6,0.01,0,10000,1,68,0.036291036,0.000227453,0.021943203,9.89E-05,11960.96013,15492489.97,932,0,10000,0,10000,1,0.278971,0,10000,0,0
6,0.01,0,10000,1,61,0.032081973,8.03E-05,0.018719957,3.09E-05,12705.20963,11354394.24,939,0,10000,0,10000,1,0.326672,0,10000,0,0
6,0.01,0,10000,1,60,0.034569936,0.000142613,0.020506278,5.13E-05,13100.18056,22112774.18,940,0,10000,0,10000,1,0.538462,0,10000,0,0
6,0.01,0,10000,1,58,0.037897724,0.00019151,0.02322211,8.06E-05,12217.23561,15377404.96,942,0,10000,0,10000,1,0.423274,0,10000,0,0
6,0.01,0,10000,1,65,0.035454947,0.000165051,0.021537081,8.29E-05,12244.70784,13246571.57,935,0,10000,0,10000,1,0.427009,0,10000,0,0
6,0.01,0,10000,1,62,0.038355058,0.000261015,0.022764863,8.60E-05,12174.80407,16072655.45,938,0,10000,0,10000,1,0.398135,0,10000,0,0
6,0.01,0,10000,1,66,0.033798442,0.000116809,0.020072405,5.31E-05,13266.25914,15210666.74,934,0,10000,0,10000,1,0.4451,0,10000,0,0
6,0.01,0,10000,1,58,0.032595334,8.47E-05,0.019036392,2.94E-05,12601.82836,10782045.46,942,0,10000,0,10000,1,0.433979,0,10000,0,0
6,0.01,0,10000,1,62,0.037290049,0.00019342,0.022415291,7.62E-05,12260.06745,15825619.92,938,0,10000,0,10000,1,0.292464,0,10000,0,0
6,0.01,0,10000,1,67,0.034074961,0.000139539,0.020243603,5.78E-05,12341.20452,12162586.58,933,0,10000,0,10000,1,0.382965,0,10000,0,0
6,0.01,0,10000,1,65,0.035793391,0.000151775,0.021353391,5.76E-05,12476.04082,13746691.41,935,0,10000,0,10000,1,0.485673,0,10000,0,0
6,0.01,0,10000,1,63,0.041718939,0.000183987,0.025909708,9.41E-05,10826.1522,12691023.76,937,0,10000,0,10000,1,0.449598,0,10000,0,0
6,0.01,0,10000,1,64,0.039618376,0.000328864,0.024154748,0.000133853,11759.70279,16414186.23,936,0,10000,0,10000,1,0.614219,0,10000,0,0
