Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,0,10000,1,23,0.05732442,0.00146506,0.03208233,0.00063949,5228.73381,11537038.7,977,0,10000,0,10000,1,0.767312,0,10000,0,0
0.8,0.95,0,10000,1,25,0.05004771,0.00086549,0.02715465,0.00027925,5408.8517,10479481.1,975,0,10000,0,10000,1,0.815527,0,10000,0,0
0.8,0.95,0,10000,1,25,0.06473248,0.0039473,0.03742958,0.00180533,5863.83218,28409252,439,1,464,0,10000,0,10000,0,10000,1,0
0.8,0.95,1,626,1,23,0.05246549,0.00091797,0.02918673,0.000348,5517.53691,18652705.1,600,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,839,1,24,0.05461322,0.0014485,0.03155114,0.00076513,5552.11634,17595477.2,812,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,29,0.0516208,0.00090359,0.02892876,0.00036569,5164.57911,9470394.25,971,0,10000,0,10000,1,0.491977,0,10000,0,0
0.8,0.95,0,10000,1,24,0.05211974,0.00110373,0.02940648,0.00045072,5783.35288,23025610.3,976,0,10000,0,10000,1,0.766194,0,10000,0,0
0.8,0.95,1,477,1,24,0.05188514,0.00207157,0.02894141,0.00096691,5654.37136,13463192.1,451,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05154075,0.00080802,0.0288647,0.00035439,5557.65159,15520612,977,0,10000,0,10000,1,0.809208,0,10000,0,0
0.8,0.95,1,316,1,27,0.04486393,0.00078268,0.02315422,0.0001776,6072.7234,10850837.9,286,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,719,1,24,0.05528949,0.00275157,0.0320304,0.00164695,5056.05959,8995405.95,692,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,256,1,23,0.05211013,0.00062187,0.02877246,0.00020975,4981.29956,6063610.84,231,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,441,1,31,0.06212616,0.00372624,0.0378075,0.00191359,6190.59158,35701962.2,408,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,265,1,28,0.07053924,0.00649162,0.03950936,0.00227839,4037.10823,4257607.31,235,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,27,0.05158172,0.00104494,0.0285267,0.00041907,5238.2064,9454911,973,0,10000,0,10000,1,0.77443,0,10000,0,0
0.8,0.95,0,10000,1,26,0.05586933,0.00137075,0.03115334,0.00055783,5310.55464,11791119.4,974,0,10000,0,10000,1,0.741868,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05758241,0.00171246,0.03364785,0.00076904,5629.80372,31665128.7,972,0,10000,0,10000,1,0.910926,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04769649,0.00068977,0.02599567,0.00026869,6108.90853,16061072.5,977,0,10000,0,10000,1,0.887339,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05708767,0.00120606,0.03138068,0.00038577,5530.68182,21526824.6,972,0,10000,0,10000,1,0.800722,0,10000,0,0
0.8,0.95,1,66,1,25,0.07667402,0.00226511,0.04983835,0.00131071,5025.85294,18535028.2,38,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,24,0.05587755,0.00177921,0.03269127,0.00089134,4998.41461,9720989.5,976,0,10000,0,10000,1,0.804765,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05134633,0.00081111,0.02872825,0.00029923,5230.85406,11472967.5,977,0,10000,0,10000,1,0.883292,0,10000,0,0
0.8,0.95,1,685,1,22,0.05129076,0.00089625,0.02826884,0.00029006,5014.41248,9526514.23,661,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,36,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,27,0.05866476,0.00164853,0.03254122,0.00053455,4769.51909,8883353.48,973,0,10000,0,10000,1,0.63042,0,10000,0,0
0.8,0.95,1,179,1,23,0.05414566,0.00212158,0.02832487,0.00042267,5331.04698,10136510.9,153,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,24,0.05662987,0.0012366,0.03261287,0.00060739,4759.22428,8040637.32,976,0,10000,0,10000,1,0.837713,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05488608,0.00182111,0.03195056,0.00083355,5005.79752,10108118.7,972,0,10000,0,10000,1,0.671867,0,10000,0,0
0.8,0.95,1,336,1,30,0.05725119,0.00103429,0.03153062,0.00032676,5810.13712,28083942.6,303,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05473861,0.00155808,0.03135142,0.00063496,5477.92149,36908814,972,0,10000,0,10000,1,0.681397,0,10000,0,0
0.8,0.95,0,10000,1,22,0.06070113,0.00391148,0.03553212,0.00174328,5378.64,13558545.3,579,1,601,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,1,23,0.05289753,0.00108989,0.02938658,0.00043332,5603.33094,11883761.3,977,0,10000,0,10000,1,0.794375,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05894999,0.00319819,0.03380976,0.00128292,5337.74897,12832670.4,972,0,10000,0,10000,1,0.886346,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05676541,0.00125081,0.03280041,0.0005751,5296.32169,15812331.1,977,0,10000,0,10000,1,0.596685,0,10000,0,0
0.8,0.95,0,10000,1,21,0.05614407,0.00133619,0.0316657,0.00050658,5511.25026,19713241.8,979,0,10000,0,10000,1,0.773178,0,10000,0,0
0.8,0.95,0,10000,1,24,0.04960383,0.00063122,0.02723348,0.00021953,5406.82305,10879161.3,976,0,10000,0,10000,1,0.581721,0,10000,0,0
0.8,0.95,1,68,1,28,0.20417092,0.0114993,0.15138963,0.00503794,827,188830.606,37,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,193,1,24,0.04800725,0.00076568,0.02660772,0.00029701,5299.23926,14579509.6,167,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,30,0.05585793,0.00229572,0.0328873,0.00117406,5419.32712,17204357.4,970,0,10000,0,10000,1,0.216947,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05052854,0.00085637,0.02852969,0.00033042,5789.36485,19693491.1,977,0,10000,0,10000,1,0.844482,0,10000,0,0
0.8,0.95,0,10000,1,27,0.06499462,0.00424864,0.03949557,0.00256709,5932.03302,27985433.4,973,0,10000,0,10000,1,0.811259,0,10000,0,0
0.8,0.95,1,503,1,28,0.05094406,0.00072772,0.02829215,0.00022805,5583.11087,21451826.4,473,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,342,1,24,0.05468746,0.00242904,0.02986601,0.00083927,5192.44231,9878324.36,316,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,28,0.05844662,0.00351369,0.03423832,0.00235105,5411.34711,12797532.9,972,0,10000,0,10000,1,0.72673,0,10000,0,0
0.8,0.95,1,296,1,25,0.05787028,0.00216334,0.03282268,0.00088378,6244.67547,29297183.8,269,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,179,1,24,0.06354776,0.00153936,0.03487351,0.00056403,4956.16107,7725833.5,153,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04975767,0.00088266,0.02800105,0.0003889,5136.59609,10778410.5,977,0,10000,0,10000,1,0.856333,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04898349,0.00076644,0.02656691,0.00026811,5706.60534,15297368,977,0,10000,0,10000,1,0.828462,0,10000,0,0
0.8,0.95,1,550,1,24,0.06202281,0.00265836,0.03649855,0.0014971,5443.40769,14096962.7,524,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,85,1,26,0.10755098,0.01658919,0.06935732,0.00910352,6272.45283,32855708.1,57,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,29,0.06046254,0.00140908,0.03546337,0.00069908,5045.42089,14354426.7,971,0,10000,0,10000,1,0.727967,0,10000,0,0
0.8,0.95,1,195,1,28,0.04582809,0.00038475,0.02542134,0.00013212,5790.12422,12372772.4,165,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,29,0.0547781,0.00119133,0.03154162,0.00054886,4937.16856,11188763.3,971,0,10000,0,10000,1,0.73609,0,10000,0,0
0.8,0.95,0,10000,1,23,0.04798441,0.00045709,0.0253698,0.00014889,5436.96917,8498376.94,977,0,10000,0,10000,1,0.725314,0,10000,0,0
0.8,0.95,0,10000,1,24,0.05259413,0.00110767,0.02949516,0.00049296,5654.16255,14726383.1,976,0,10000,0,10000,1,0.827362,0,10000,0,0
0.8,0.95,0,10000,1,23,0.05553733,0.00136427,0.03107177,0.00056126,5761.63309,16732073.2,977,0,10000,0,10000,1,0.848485,0,10000,0,0
0.8,0.95,0,10000,1,25,0.06216583,0.00167678,0.03661468,0.00082273,4859.29381,12368493.7,586,1,611,0,10000,0,10000,0,10000,1,0
0.8,0.95,0,10000,1,24,0.054038,0.0009486,0.0296127,0.000386,5275.16461,8809980.63,976,0,10000,0,10000,1,0.822146,0,10000,0,0
0.8,0.95,0,10000,1,22,0.05516221,0.00141789,0.03162366,0.00070048,5470.14887,16454192.5,978,0,10000,0,10000,1,0.765976,0,10000,0,0
0.8,0.95,0,10000,1,27,0.0490846,0.00081034,0.02677965,0.00030751,5808.65015,18464115.4,973,0,10000,0,10000,1,0.812915,0,10000,0,0
0.8,0.95,0,10000,1,24,0.0584683,0.00185914,0.0341189,0.00103136,5296.96091,13844709.9,976,0,10000,0,10000,1,0.782123,0,10000,0,0
