Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,91,0.038590925,0.000365711,0.022816481,0.000108675,12592.16796,12236221.66,909,0,10000,0,10000,1,0.473634,0,10000,0,0
6,0.01,0,10000,1,82,0.043774901,0.000286907,0.027619833,0.000130725,12159.3709,16560605.81,918,0,10000,0,10000,1,0.359741,0,10000,0,0
6,0.01,0,10000,1,80,0.051929799,0.002297406,0.032756726,0.001062194,12402.27402,23054792.02,920,0,10000,0,10000,1,0.293771,0,10000,0,0
6,0.01,0,10000,1,90,0.04224965,0.000561917,0.026168005,0.000235398,12956.41391,14873008.18,910,0,10000,0,10000,1,0.351419,0,10000,0,0
6,0.01,0,10000,1,86,0.035281072,0.000201462,0.021402519,8.48E-05,14070.25275,25719445.66,914,0,10000,0,10000,1,0.331561,0,10000,0,0
6,0.01,0,10000,1,81,0.044505461,0.00045493,0.027882655,0.000191916,12310.30273,15629034.25,919,0,10000,0,10000,1,0.261031,0,10000,0,0
6,0.01,0,10000,1,87,0.039822669,0.000289181,0.024676412,0.000130533,12908.37954,13466071.82,913,0,10000,0,10000,1,0.335188,0,10000,0,0
6,0.01,0,10000,1,84,0.03811671,0.000174283,0.022952976,6.97E-05,12708.77522,10052142.25,916,0,10000,0,10000,1,0.511884,0,10000,0,0
6,0.01,0,10000,1,82,0.039208421,0.000303028,0.02341586,0.000139166,13094.33698,18281180.53,918,0,10000,0,10000,1,0.237269,0,10000,0,0
6,0.01,0,10000,1,84,0.043108237,0.000362333,0.026198033,0.000146838,12224.48684,14777969.06,916,0,10000,0,10000,1,0.462999,0,10000,0,0
6,0.01,0,10000,1,86,0.040434474,0.000430879,0.024578313,0.000183627,12846.34835,16418047.12,914,0,10000,0,10000,1,0.113702,0,10000,0,0
6,0.01,0,10000,1,76,0.041567802,0.000275623,0.026290284,0.000130092,12801.375,13710522.16,924,0,10000,0,10000,1,0.527541,0,10000,0,0
6,0.01,0,10000,1,78,0.036079699,0.00015069,0.021064429,5.38E-05,13605.22767,14415430.88,922,0,10000,0,10000,1,0.278283,0,10000,0,0
6,0.01,0,10000,1,78,0.033884211,0.000152739,0.020339708,5.45E-05,14761.23638,20198938.85,922,0,10000,0,10000,1,0.350805,0,10000,0,0
6,0.01,0,10000,1,84,0.039230947,0.000270964,0.023805192,0.000107991,13206.66996,14390985.19,916,0,10000,0,10000,1,0.334664,0,10000,0,0
6,0.01,0,10000,1,91,0.038180429,0.000214619,0.023137173,8.08E-05,12974.30276,10813816.12,909,0,10000,0,10000,1,0.435331,0,10000,0,0
6,0.01,0,10000,1,86,0.038519195,0.000305053,0.023255014,0.000117598,13106.26154,12734937.13,914,0,10000,0,10000,1,0.429003,0,10000,0,0
6,0.01,0,10000,1,81,0.044201807,0.000534087,0.027673559,0.000221599,13503.34098,42113886.69,919,0,10000,0,10000,1,0.274528,0,10000,0,0
