Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,48,0.007496664,2.84E-06,0.004503623,9.54E-07,17795.66772,3257047.737,952,0,10000,0,10000,1,0.503852,0,10000,0,0
6,0.01,0,10000,1,52,0.007785365,2.97E-06,0.004707487,1.00E-06,17705.0053,3120618.317,948,0,10000,0,10000,1,0.485979,0,10000,0,0
6,0.01,0,10000,1,57,0.007666033,2.70E-06,0.004647448,9.44E-07,17585.17785,3283160.24,943,0,10000,0,10000,1,0.4747,0,10000,0,0
6,0.01,0,10000,1,65,0.007623756,2.30E-06,0.004676999,9.29E-07,17601.83029,2742124.878,935,0,10000,0,10000,1,0.492664,0,10000,0,0
6,0.01,0,10000,1,44,0.007415123,2.45E-06,0.004501098,7.49E-07,17825.86134,3931322.998,956,0,10000,0,10000,1,0.521769,0,10000,0,0
6,0.01,0,10000,1,54,0.007487428,2.64E-06,0.004543955,8.65E-07,17494.91295,2881219.604,946,0,10000,0,10000,1,0.497943,0,10000,0,0
6,0.01,0,10000,1,59,0.007327775,2.45E-06,0.004458839,8.55E-07,17797.1206,2251687.829,941,0,10000,0,10000,1,0.518816,0,10000,0,0
6,0.01,0,10000,1,61,0.00761178,2.42E-06,0.004625389,9.07E-07,17593.20214,3004177.684,939,0,10000,0,10000,1,0.505983,0,10000,0,0
6,0.01,0,10000,1,50,0.007752211,2.04E-06,0.004731016,7.86E-07,17600.77378,3638990.983,950,0,10000,0,10000,1,0.485755,0,10000,0,0
6,0.01,0,10000,1,54,0.007453805,2.42E-06,0.004522594,8.75E-07,17709.71019,2838257.805,946,0,10000,0,10000,1,0.548274,0,10000,0,0
6,0.01,0,10000,1,49,0.007522193,2.73E-06,0.004575802,8.38E-07,17524.12672,3240333.287,951,0,10000,0,10000,1,0.437143,0,10000,0,0
6,0.01,0,10000,1,43,0.007487043,2.87E-06,0.004521152,9.13E-07,17955.23715,5449110.33,957,0,10000,0,10000,1,0.464583,0,10000,0,0
6,0.01,0,10000,1,60,0.007507474,2.39E-06,0.004562742,8.70E-07,17743.75855,3043258.598,940,0,10000,0,10000,1,0.555277,0,10000,0,0
6,0.01,0,10000,1,50,0.007702809,3.05E-06,0.004662666,1.06E-06,17819.85941,3845118.533,950,0,10000,0,10000,1,0.463247,0,10000,0,0
6,0.01,0,10000,1,58,0.007507194,2.40E-06,0.004557282,8.59E-07,17595.19616,2814732.424,942,0,10000,0,10000,1,0.444959,0,10000,0,0
6,0.01,0,10000,1,52,0.007588978,2.68E-06,0.00460391,8.16E-07,17663.73199,3006037.478,948,0,10000,0,10000,1,0.492708,0,10000,0,0
6,0.01,0,10000,1,60,0.00744597,2.04E-06,0.004548665,8.47E-07,17733.80876,2593750.565,940,0,10000,0,10000,1,0.464525,0,10000,0,0
6,0.01,0,10000,1,53,0.007828688,3.03E-06,0.004748084,1.09E-06,17700.09544,3809943.692,947,0,10000,0,10000,1,0.532321,0,10000,0,0
6,0.01,0,10000,1,57,0.007250568,2.12E-06,0.004396959,8.07E-07,17821.95314,3735568.092,943,0,10000,0,10000,1,0.520044,0,10000,0,0
6,0.01,0,10000,1,54,0.007551881,2.71E-06,0.004560676,8.35E-07,17756.48195,3149744.978,946,0,10000,0,10000,1,0.491704,0,10000,0,0
6,0.01,0,10000,1,51,0.007795001,3.10E-06,0.004676063,1.07E-06,17872.29524,3273662.045,949,0,10000,0,10000,1,0.514995,0,10000,0,0
6,0.01,0,10000,1,57,0.007550483,2.65E-06,0.004606479,8.57E-07,17722.61874,2267192.155,943,0,10000,0,10000,1,0.459329,0,10000,0,0
6,0.01,0,10000,1,52,0.00756852,3.41E-06,0.004605594,1.17E-06,17772.97034,3568032.217,948,0,10000,0,10000,1,0.495585,0,10000,0,0
6,0.01,0,10000,1,48,0.007441461,2.46E-06,0.004481921,8.14E-07,17868.62975,3715198.064,952,0,10000,0,10000,1,0.458007,0,10000,0,0
6,0.01,0,10000,1,49,0.007661543,2.94E-06,0.004631594,9.45E-07,17658.0359,3284437.317,951,0,10000,0,10000,1,0.459848,0,10000,0,0
6,0.01,0,10000,1,59,0.007659739,2.44E-06,0.00462021,8.38E-07,17733.22946,2569282.766,941,0,10000,0,10000,1,0.50772,0,10000,0,0
6,0.01,0,10000,1,56,0.007596333,3.04E-06,0.004554481,9.99E-07,17938.96596,2877008.454,944,0,10000,0,10000,1,0.479731,0,10000,0,0
6,0.01,0,10000,1,56,0.007409728,2.44E-06,0.004532324,7.97E-07,17727.91702,2744261.527,944,0,10000,0,10000,1,0.453511,0,10000,0,0
6,0.01,0,10000,1,51,0.007548393,2.49E-06,0.004573283,8.35E-07,17905.79471,3014963.683,949,0,10000,0,10000,1,0.536171,0,10000,0,0
6,0.01,0,10000,1,53,0.007632123,2.69E-06,0.004601853,8.80E-07,17668.63945,3155582.32,947,0,10000,0,10000,1,0.524309,0,10000,0,0
6,0.01,0,10000,1,63,0.007959836,3.12E-06,0.004825088,9.97E-07,17785.42872,2460764.262,937,0,10000,0,10000,1,0.513511,0,10000,0,0
