Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-0.9,0,0,10000,1,22,0.03988618,0.0003435,0.01859803,5.45E-05,6566.67351,4981673.51,978,0,10000,0,10000,1,0.740166,0,10000,0,0
-0.9,0,0,10000,1,22,0.03852703,0.00028341,0.01886885,5.14E-05,6328.99897,5190079,978,0,10000,0,10000,1,0.749665,0,10000,0,0
-0.9,0,0,10000,1,21,0.03839313,0.0002725,0.0186922,5.97E-05,6635.88615,6412409.46,979,0,10000,0,10000,1,0.734551,0,10000,0,0
-0.8,0,0,10000,1,23,0.04231779,0.00037268,0.02094442,7.62E-05,6146.95684,5485816.94,977,0,10000,0,10000,1,0.71397,0,10000,0,0
-0.8,0,0,10000,1,22,0.03882045,0.00031195,0.0190026,6.71E-05,6542.50821,6958805.93,978,0,10000,0,10000,1,0.836445,0,10000,0,0
-0.8,0,0,10000,1,22,0.04199444,0.00032159,0.02031072,6.22E-05,6531.29569,6854046.83,978,0,10000,0,10000,1,0.874131,0,10000,0,0
-0.8,0,0,10000,1,22,0.04042961,0.00034028,0.01990788,6.67E-05,6082.20226,5239448.26,978,0,10000,0,10000,1,0.719549,0,10000,0,0
-0.8,0,0,10000,1,21,0.04060168,0.00036229,0.02003028,6.89E-05,6044.50051,4969611.55,979,0,10000,0,10000,1,0.725056,0,10000,0,0
-0.8,0,0,10000,1,23,0.04023304,0.00034238,0.02039403,8.25E-05,6000.39568,5673189.82,977,0,10000,0,10000,1,0.822348,0,10000,0,0
-0.8,0,0,10000,1,21,0.04239236,0.00038856,0.02096655,8.91E-05,6189.77539,5427862.12,979,0,10000,0,10000,1,0.692476,0,10000,0,0
-0.8,0,0,10000,1,23,0.03978127,0.00034961,0.01968473,7.95E-05,6912.45118,21906410.5,977,0,10000,0,10000,1,0.627276,0,10000,0,0
-0.8,0,0,10000,1,22,0.04196346,0.0003712,0.02067414,7.43E-05,6598.37577,8150641.92,978,0,10000,0,10000,1,0.778924,0,10000,0,0
-0.8,0,0,10000,1,21,0.03923063,0.00027133,0.01941525,6.28E-05,6234.12615,5160790.52,979,0,10000,0,10000,1,0.437154,0,10000,0,0
-0.8,0,0,10000,1,22,0.04339077,0.00054107,0.02250259,0.00020735,5977.88604,8560536.33,978,0,10000,0,10000,1,0.58826,0,10000,0,0
-0.8,0,0,10000,1,23,0.04169328,0.0003453,0.02047444,7.05E-05,6292.65468,5089031.89,977,0,10000,0,10000,1,0.831778,0,10000,0,0
-0.8,0,0,10000,1,23,0.04243704,0.00040006,0.02031337,7.93E-05,6362.62487,6258489.26,977,0,10000,0,10000,1,0.808183,0,10000,0,0
-0.8,0,0,10000,1,20,0.04119511,0.00042449,0.01978044,6.98E-05,6340.5748,6469509.59,980,0,10000,0,10000,1,0.618855,0,10000,0,0
-0.8,0,0,10000,1,22,0.03946143,0.00031804,0.02046214,9.18E-05,5784.95585,5090230.03,978,0,10000,0,10000,1,0.805429,0,10000,0,0
-0.8,0,0,10000,1,23,0.04177798,0.00038993,0.02054334,8.02E-05,6655.83762,8723743.03,977,0,10000,0,10000,1,0.695341,0,10000,0,0
-0.8,0,0,10000,1,22,0.04098901,0.00032005,0.02036557,6.85E-05,6406.67146,6296470.38,978,0,10000,0,10000,1,0.736977,0,10000,0,0
-0.8,0,0,10000,1,21,0.04167723,0.00031406,0.02057732,6.70E-05,6342.06974,6793399.71,979,0,10000,0,10000,1,0.740125,0,10000,0,0
