Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,20,0.03957286,0.00035402,0.01561533,5.12E-05,10601.6219,17965124.7,980,0,10000,0,10000,1,0.705681,0,10000,0,0
-1,0,0,10000,1,20,0.04142525,0.00055198,0.01754701,0.00013077,10339.8545,22368142.2,980,0,10000,0,10000,1,0.717687,0,10000,0,0
-1,0,0,10000,1,21,0.03997712,0.00044106,0.01657805,9.55E-05,11248.799,32635753.1,979,0,10000,0,10000,1,0.596737,0,10000,0,0
-1,0,0,10000,1,22,0.04370413,0.00084008,0.01887896,0.00028447,11069.0503,35404079.7,978,0,10000,0,10000,1,0.752518,0,10000,0,0
-1,0,0,10000,1,22,0.04224347,0.00044923,0.01695469,7.15E-05,10955.1725,30412148.9,978,0,10000,0,10000,1,0.576909,0,10000,0,0
-1,0,0,10000,1,25,0.04007901,0.00037969,0.01630022,6.11E-05,11272.4243,36262210.3,975,0,10000,0,10000,1,0.787344,0,10000,0,0
-1,0,0,10000,1,22,0.04311467,0.00089486,0.01915369,0.00036033,11145.3029,43783166.2,978,0,10000,0,10000,1,0.515836,0,10000,0,0
-1,0,0,10000,1,22,0.04262759,0.00048182,0.01771835,8.86E-05,10636.7628,25050589.4,978,0,10000,0,10000,1,0.82991,0,10000,0,0
-1,0,0,10000,1,22,0.04197713,0.00051182,0.01754299,0.00010863,10331.4374,24943654.9,978,0,10000,0,10000,1,0.55857,0,10000,0,0
-1,0,0,10000,1,21,0.03925435,0.00034879,0.01558031,5.97E-05,10949.4636,20621437.2,979,0,10000,0,10000,1,0.629041,0,10000,0,0
-1,0,0,10000,1,19,0.04066537,0.00042287,0.01646147,7.38E-05,11737.3562,36344973.8,981,0,10000,0,10000,1,0.469905,0,10000,0,0
-1,0,0,10000,1,21,0.0380527,0.00031764,0.01550833,5.21E-05,11208.2851,28737939.4,979,0,10000,0,10000,1,0.839782,0,10000,0,0
