,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
33,2,0.0125,0,10000,1,58,0.1584787,0.000566144,0.1381175,0.000459537,1718.7,86100.41,14,1,72,0,10000,0,10000,0,10000,1,0
34,2,0.0125,0,10000,1,54,0.13854516,0.003160675,0.10513378,0.002064068,2703.3,702017.01,14,1,68,0,10000,0,10000,0,10000,1,0
35,2,0.0125,0,10000,1,59,0.07277941,0.000745032,0.06421148,0.000496302,8695.222222,10946609.63,121,1,180,0,10000,0,10000,0,10000,1,0
36,2,0.0125,0,10000,1,52,0.018852827,0.000174028,0.016202689,0.00012221,24608.62755,89216284.66,200,1,252,0,10000,0,10000,0,10000,1,0
37,2,0.0125,0,10000,1,57,0.053404671,5.75E-05,0.046566543,1.42E-05,8029.285714,837903.9184,11,1,68,0,10000,0,10000,0,10000,1,0
38,2,0.0125,0,10000,1,56,0.040972829,0.001028343,0.034515117,0.000664687,16369.94595,77123048.54,115,1,171,0,10000,0,10000,0,10000,1,0
39,2,0.0125,0,10000,1,57,0.245287,0.001238471,0.1888226,0.001449617,1324.6,11615.44,9,1,66,0,10000,0,10000,0,10000,1,0
40,2,0.0125,0,10000,1,56,0.042185473,0.001427955,0.033990666,0.000808202,16264.0102,92842613.53,298,1,354,0,10000,0,10000,0,10000,1,0
41,2,0.015,0,10000,1,46,0.02974415,1.92E-05,0.027612483,6.82E-06,15092.83333,1636209.139,10,1,56,0,10000,0,10000,0,10000,1,0
42,2,0.015,0,10000,1,47,0.078488837,0.005271155,0.06046474,0.002954716,11219.68966,63657544.03,91,1,138,0,10000,0,10000,0,10000,1,0
43,2,0.015,0,10000,1,49,0.060799073,0.000502951,0.058191347,0.000475421,6727.866667,14230534.52,19,1,68,0,10000,0,10000,0,10000,1,0
44,2,0.015,0,10000,1,52,0.065019137,0.001053714,0.051790786,0.000599464,9527.255556,19766588,184,1,236,0,10000,0,10000,0,10000,1,0
45,2,0.015,1,65,1,53,0.6492265,0.082742044,0.448876833,0.063372622,223.1666667,15296.47222,10,0,10000,0,10000,0,10000,0,10000,0,0
46,2,0.015,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,67,0,10000,0,10000,0,10000,0,1
47,2,0.015,0,10000,1,50,0.1198006,0.000290073,0.1097851,6.01E-05,3999.8,348872.56,9,1,59,0,10000,0,10000,0,10000,1,0
48,2,0.015,0,10000,1,45,0.055879011,0.000972002,0.045282294,0.00062648,10822.97183,19429365.6,75,1,120,0,10000,0,10000,0,10000,1,0
49,2,0.015,0,10000,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,1,54,0,10000,0,10000,0,10000,0,1
50,2,0.015,0,10000,1,51,0.160319492,0.010494282,0.130994783,0.007134277,4106.844037,8408650.792,113,1,164,0,10000,0,10000,0,10000,1,0
51,2,0.015,0,10000,1,45,0.026466774,0.000528849,0.021447473,0.000324874,21841.30198,103580208,206,1,251,0,10000,0,10000,0,10000,1,0
52,2,0.015,0,10000,1,44,0.096904699,0.023740426,0.079197554,0.016346128,20581.72115,237976047.8,108,1,152,0,10000,0,10000,0,10000,1,0
53,2,0.015,0,10000,1,47,0.0464288,0.001810884,0.039714193,0.001285679,16264.12245,94148044.25,102,1,149,0,10000,0,10000,0,10000,1,0
54,2,0.015,0,10000,1,47,0.194024612,0.02526668,0.1553279,0.016573738,5050.090909,15318886.42,70,1,117,0,10000,0,10000,0,10000,1,0
55,2,0.015,0,10000,1,50,0.120859471,0.000986998,0.108507614,0.000481083,3318.285714,993521.0612,11,1,61,0,10000,0,10000,0,10000,1,0
56,2,0.015,0,10000,1,45,0.030125364,0.000425982,0.024586265,0.00029807,20238.89535,124182139.8,176,1,221,0,10000,0,10000,0,10000,1,0
57,2,0.015,0,10000,1,49,0.186652,0.000157759,0.150290833,0.000587472,1310.166667,37731.80556,10,1,59,0,10000,0,10000,0,10000,1,0
58,2,0.015,0,10000,1,49,0.094596673,0.002231586,0.086785845,0.001510525,5773.363636,16234950.05,26,1,75,0,10000,0,10000,0,10000,1,0
59,2,0.015,0,10000,1,48,0.066907764,0.000376427,0.061662618,0.000188568,7800.909091,3615128.628,15,1,63,0,10000,0,10000,0,10000,1,0
60,2,0.015,0,10000,1,48,0.053740773,0.001855848,0.043028647,0.001212453,13919.52018,70641237.9,227,1,275,0,10000,0,10000,0,10000,1,0
61,2,0.0175,0,10000,1,44,0.1687785,0.000216399,0.1565475,0.000102425,2463.5,52212.25,6,1,50,0,10000,0,10000,0,10000,1,0
