,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
434,2.5,0.01,1,493,1,95,0.094128007,0.008339321,0.073642041,0.003682277,10369.31458,89058750.58,395,0,10000,0,10000,0,10000,0,10000,0,0
435,2.5,0.01,0,10000,1,83,0.086885416,0.002438315,0.072890679,0.001562365,8743.860169,23282707.42,240,1,323,0,10000,0,10000,0,10000,1,0
436,2.5,0.01,1,110,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
437,2.5,0.01,1,285,1,97,0.306077478,0.039969919,0.251073628,0.037653485,1620.966667,770285.6656,184,0,10000,0,10000,0,10000,0,10000,0,0
438,2.5,0.01,0,10000,1,90,0.079482384,0.003439186,0.064563406,0.002531646,9175.577982,28299898.67,113,1,203,0,10000,0,10000,0,10000,1,0
439,2.5,0.01,0,10000,1,101,0.370306882,0.014239547,0.314408706,0.01237093,511.6470588,5661.287197,21,1,122,0,10000,0,10000,0,10000,1,0
440,2.5,0.01,1,108,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
841,3,0.01,1,107,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
842,3,0.01,0,10000,1,86,0.067335847,0.001973973,0.049840267,0.00105853,9357.149451,31486705.02,914,0,10000,0,10000,1,0.243116,0,10000,0,0
843,3,0.01,1,186,1,92,0.315149078,0.135713956,0.256060039,0.111418907,7261.863636,29198607.1,92,0,10000,0,10000,0,10000,0,10000,0,0
844,3,0.01,1,676,1,85,0.154945412,0.019330146,0.122426939,0.013913053,5142.001715,13501995.33,587,0,10000,0,10000,0,10000,0,10000,0,0
845,3,0.01,1,499,1,89,0.124214372,0.03637939,0.100890217,0.027993616,12132.75931,65138140.39,407,0,10000,0,10000,0,10000,0,10000,0,0
846,3,0.01,1,634,1,87,0.08634428,0.025135092,0.067999179,0.019769347,11817.58627,29725519.56,543,0,10000,0,10000,0,10000,0,10000,0,0
847,3,0.01,1,879,1,80,0.089168629,0.021196049,0.068871128,0.017433291,9992.536616,46902341.73,796,0,10000,0,10000,0,10000,0,10000,0,0
848,3,0.01,0,10000,1,89,0.086494712,0.000209045,0.074612624,5.85E-05,6411.176471,1838925.557,21,1,110,0,10000,0,10000,0,10000,1,0
849,3,0.01,1,258,1,84,0.189281584,0.060220396,0.146134543,0.043208625,6930.801205,30943400.56,170,0,10000,0,10000,0,10000,0,10000,0,0
850,3,0.01,1,221,1,88,0.228984813,0.048252064,0.169056125,0.028728036,3703.909836,6496798.115,126,0,10000,0,10000,0,10000,0,10000,0,0
851,3,0.01,0,10000,1,86,0.04900175,0.000547867,0.0432573,0.000271613,12516,25551794.52,46,1,132,0,10000,0,10000,0,10000,1,0
