,Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
431,0.81,0.8,0,10000,1,24,0.011339643,3.81E-05,0.00439624,3.24E-06,9768.13786,2923549.393,976,0,10000,0,10000,1,0.735655,0,10000,0,0
432,0.81,0.8,0,10000,1,23,0.011018739,3.83E-05,0.004334024,4.17E-06,9855.611511,3309979.551,977,0,10000,0,10000,1,0.749046,0,10000,0,0
433,0.81,0.8,0,10000,1,23,0.010433109,2.81E-05,0.004201165,4.19E-06,9744.427544,3077177.032,977,0,10000,0,10000,1,0.755496,0,10000,0,0
434,0.81,0.8,0,10000,1,23,0.010255528,3.15E-05,0.004175367,2.75E-06,9654.733813,2972484.512,977,0,10000,0,10000,1,0.782114,0,10000,0,0
435,0.81,0.8,0,10000,1,24,0.011457341,4.43E-05,0.004484736,3.76E-06,9676.409465,2390136.376,976,0,10000,0,10000,1,0.813823,0,10000,0,0
436,0.81,0.8,0,10000,1,23,0.012400548,4.72E-05,0.00490359,4.53E-06,9719.157246,3570802.069,977,0,10000,0,10000,1,0.747027,0,10000,0,0
437,0.81,0.8,0,10000,1,23,0.011839013,4.51E-05,0.004607578,3.85E-06,9814.787256,2747926.281,977,0,10000,0,10000,1,0.808418,0,10000,0,0
438,0.81,0.8,0,10000,1,22,0.011387812,4.58E-05,0.004352968,4.13E-06,9763.928131,2965570.43,978,0,10000,0,10000,1,0.792637,0,10000,0,0
439,0.81,0.8,0,10000,1,24,0.010685567,3.62E-05,0.004289102,4.80E-06,9865.461934,4980225.152,976,0,10000,0,10000,1,0.773286,0,10000,0,0
440,0.81,0.8,0,10000,1,23,0.010493635,2.29E-05,0.004219059,2.88E-06,9792.356629,3024268.188,977,0,10000,0,10000,1,0.793926,0,10000,0,0
841,0.82,0.8,0,10000,1,24,0.012071804,4.49E-05,0.004833504,4.22E-06,9527.365226,3200464.866,976,0,10000,0,10000,1,0.725938,0,10000,0,0
842,0.82,0.8,0,10000,1,24,0.012690773,4.39E-05,0.004869726,4.18E-06,9587.30144,3770022.194,976,0,10000,0,10000,1,0.773982,0,10000,0,0
843,0.82,0.8,0,10000,1,22,0.011519572,3.15E-05,0.004630349,3.45E-06,9306.241273,2500643.838,978,0,10000,0,10000,1,0.764829,0,10000,0,0
844,0.82,0.8,0,10000,1,23,0.012522181,5.03E-05,0.004828167,3.45E-06,9568.874615,3313307.277,977,0,10000,0,10000,1,0.719437,0,10000,0,0
845,0.82,0.8,0,10000,1,23,0.01224131,4.61E-05,0.00488161,5.01E-06,9442.335046,3043484.05,977,0,10000,0,10000,1,0.786113,0,10000,0,0
846,0.82,0.8,0,10000,1,22,0.012186146,3.95E-05,0.005035825,4.72E-06,9315.585216,3619051.883,978,0,10000,0,10000,1,0.717445,0,10000,0,0
847,0.82,0.8,0,10000,1,24,0.010947667,2.47E-05,0.004365247,2.67E-06,9527.394033,2550276.387,976,0,10000,0,10000,1,0.787825,0,10000,0,0
848,0.82,0.8,0,10000,1,24,0.011802244,3.06E-05,0.004872215,5.05E-06,9498.131687,3693217.651,976,0,10000,0,10000,1,0.771013,0,10000,0,0
849,0.82,0.8,0,10000,1,22,0.012901286,5.66E-05,0.004950264,4.50E-06,9619.720739,3215499.324,978,0,10000,0,10000,1,0.806216,0,10000,0,0
850,0.82,0.8,0,10000,1,22,0.012390309,4.44E-05,0.00485504,3.87E-06,9408.877823,3073214.553,978,0,10000,0,10000,1,0.769915,0,10000,0,0
