Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
30000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,143,1,22,0.092760835,0.003587101,1300.513043,1334741.763,119,0,10000,0,10000,0,10000
30000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,397,1,29,0.086046488,0.004772169,2074.429752,5884615.584,367,0,10000,0,10000,0,10000
30000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,244,1,26,0.084446863,0.002445539,2266.605634,8739461.478,217,0,10000,0,10000,0,10000
30000,1,167,1,24,0.105956058,0.009193831,1620.76087,2094868.588,142,0,10000,0,10000,0,10000
40000,1,97,1,27,0.074089652,0.001274815,1741.703125,1865442.021,69,0,10000,0,10000,0,10000
40000,1,134,1,25,0.080387216,0.005595671,9925.728155,119616892.5,107,0,10000,0,10000,0,10000
40000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,154,1,26,0.087324562,0.003213098,1717.341463,3284314.079,127,0,10000,0,10000,0,10000
40000,1,26,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,39,1,25,0.358818333,0.013065058,81.55555556,3530.469136,13,0,10000,0,10000,0,10000
40000,1,149,1,25,0.112184698,0.003797199,1498.092437,1996887.731,123,0,10000,0,10000,0,10000
40000,1,67,1,23,0.07878761,0.002103038,2173.948718,5088338.818,43,0,10000,0,10000,0,10000
40000,1,244,1,24,0.094036767,0.003991911,1858.497674,3951267.999,219,0,10000,0,10000,0,10000
40000,1,117,1,24,0.095281113,0.002675277,1108.781609,1039453.504,91,0,10000,0,10000,0,10000
40000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,53,1,22,0.206895981,0.030637456,349.5,165867.9423,30,0,10000,0,10000,0,10000
40000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,40,1,23,0.213641833,0.008018344,200.25,23922.02083,16,0,10000,0,10000,0,10000
40000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,116,1,24,0.091172116,0.001975351,1691.229885,4183044.407,91,0,10000,0,10000,0,10000
40000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,79,1,23,0.076883044,0.007862518,13019.82353,150090719.9,55,0,10000,0,10000,0,10000
50000,1,453,1,28,0.091223667,0.003982502,2723.235714,26138577.75,424,0,10000,0,10000,0,10000
50000,1,136,1,27,0.104971006,0.003299871,1379.778846,2914926.48,108,0,10000,0,10000,0,10000
50000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,66,1,24,0.200080489,0.010765436,295.5945946,55340.94375,41,0,10000,0,10000,0,10000
