Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
30000,1,261,1,66,0.080909365,0.005808414,4373.431579,6552561.382,194,0,10000,0,10000,0,10000
30000,1,537,1,63,0.097228024,0.025711888,6869.779915,21845324.05,472,0,10000,0,10000,0,10000
30000,1,78,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,1,77,1,65,0.471281333,0.016957089,98.33333333,192.8888889,10,0,10000,0,10000,0,10000
30000,1,159,1,56,0.209871347,0.018762801,1256.795918,1662737.673,102,0,10000,0,10000,0,10000
30000,1,92,1,56,0.140813281,0.014669275,3348.83871,6317041.748,35,0,10000,0,10000,0,10000
30000,1,203,1,63,0.11835417,0.044789689,6393.888889,13230257.77,139,0,10000,0,10000,0,10000
30000,1,103,1,57,0.270272828,0.049914787,1389.4,842231.04,44,0,10000,0,10000,0,10000
40000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,130,1,60,0.171132638,0.04786825,6484.169231,26756523.19,69,0,10000,0,10000,0,10000
40000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,185,1,62,0.139043079,0.041716415,6008.247863,22589876.67,121,0,10000,0,10000,0,10000
40000,1,115,1,62,0.209287542,0.025692264,1936.020833,2414043.02,52,0,10000,0,10000,0,10000
40000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,164,1,70,0.205656754,0.053116477,6492.325843,36804905.79,93,0,10000,0,10000,0,10000
40000,1,78,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,103,1,57,0.079055478,0.007257933,5984.65,14490054.13,44,0,10000,0,10000,0,10000
40000,1,85,1,53,0.104817177,0.002477151,2716.192308,3232953.155,30,0,10000,0,10000,0,10000
40000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,98,1,61,0.171848748,0.008401891,854.2903226,411288.3351,35,0,10000,0,10000,0,10000
40000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,103,1,60,0.207765768,0.045055969,2693,3514996,42,0,10000,0,10000,0,10000
40000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,76,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,96,1,61,0.326897027,0.096381642,1791.4,1306179.24,34,0,10000,0,10000,0,10000
50000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,150,1,63,0.075442713,0.003795509,8727.841463,34307039.5,86,0,10000,0,10000,0,10000
50000,1,200,1,63,0.17964952,0.057785978,6723.598485,32760608.54,136,0,10000,0,10000,0,10000
50000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,85,1,54,0.056107188,0.000454764,6589.538462,11464190.79,30,0,10000,0,10000,0,10000
50000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,87,1,63,0.717420474,0.075720349,42.63157895,2714.232687,23,0,10000,0,10000,0,10000
50000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,78,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,103,1,56,0.155626155,0.026984383,5164.285714,17180078.49,46,0,10000,0,10000,0,10000
60000,1,77,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,76,1,54,0.156008853,0.007848164,1803.235294,4540672.415,21,0,10000,0,10000,0,10000
60000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,96,1,61,0.222166133,0.003555781,1064.733333,293599.7289,34,0,10000,0,10000,0,10000
60000,1,139,1,63,0.243789731,0.042082586,3405.746479,8707533.598,75,0,10000,0,10000,0,10000
60000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,82,1,61,0.31340495,0.030619341,257.25,90968.1875,20,0,10000,0,10000,0,10000
60000,1,79,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,79,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,101,1,64,0.215976656,0.062888306,3892.5,8013206.938,36,0,10000,0,10000,0,10000
60000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,139,1,61,0.215654159,0.081916404,8560.232877,62734883.74,77,0,10000,0,10000,0,10000
60000,1,96,1,59,0.160012603,0.03215127,5104.09375,13931283.02,36,0,10000,0,10000,0,10000
70000,1,87,1,56,0.164992565,0.003165512,2312.884615,1121165.102,30,0,10000,0,10000,0,10000
70000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,83,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,102,1,65,0.332628032,0.020542413,1691.709677,1345354.787,36,0,10000,0,10000,0,10000
70000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,85,1,60,0.151012105,0.005033598,1841.842105,1558515.922,23,0,10000,0,10000,0,10000
70000,1,132,1,63,0.105372088,0.006623128,7671.296875,21015334.08,68,0,10000,0,10000,0,10000
70000,1,147,1,61,0.237951054,0.047470422,2939.0125,2280543.012,85,0,10000,0,10000,0,10000
70000,1,182,1,74,0.205897721,0.019152931,4452.196078,23355415.8,106,0,10000,0,10000,0,10000
70000,1,144,1,64,0.158803814,0.021287001,8995.743243,60033047.68,78,0,10000,0,10000,0,10000
70000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,152,1,60,0.122365326,0.021232784,16337.45977,191135128.5,91,0,10000,0,10000,0,10000
70000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,89,1,61,0.228371082,0.018603573,3392.318182,7077107.399,26,0,10000,0,10000,0,10000
80000,1,168,1,60,0.174386108,0.02387768,5514.543689,21615016.48,107,0,10000,0,10000,0,10000
80000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,75,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,94,1,60,0.229894179,0.032447713,4602.034483,13068963.55,33,0,10000,0,10000,0,10000
80000,1,76,1,57,0.314938214,0.010158056,249.4285714,15753.67347,18,0,10000,0,10000,0,10000
80000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,128,1,60,0.164440461,0.031441698,10917.70968,97361014.56,66,0,10000,0,10000,0,10000
80000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
