Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
30000,1,377,1,23,0.080262789,0.005726944,2494.77937,9572356.218,353,0,10000,0,10000,0,10000
30000,0,10000,1,19,0.055604212,0.001555404,4013.423077,11671680.17,30,1,49,0,10000,0,10000
30000,1,174,1,23,0.057091527,0.001208883,2646.034247,7954918.773,150,0,10000,0,10000,0,10000
30000,1,733,1,22,0.058559719,0.001843978,4328.393768,20118850.56,710,0,10000,0,10000,0,10000
30000,1,542,1,20,0.057296993,0.001647519,4194.59381,16373154.81,521,0,10000,0,10000,0,10000
30000,1,741,1,21,0.057677825,0.001501781,3294.329132,16819673.15,718,0,10000,0,10000,0,10000
30000,1,46,1,26,0.233308333,0.003355819,217.5333333,25366.24889,19,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.075926497,0.007753006,2898.615385,8121220.801,43,1,67,0,10000,0,10000
30000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.051946682,0.00293944,3885.058824,12779909.23,21,1,45,0,10000,0,10000
40000,1,268,1,23,0.048433765,0.001142239,6102.733333,55821398.05,244,0,10000,0,10000,0,10000
40000,0,10000,1,23,0.084874927,0.007203632,2410.195251,7634995.893,383,1,406,0,10000,0,10000
40000,1,54,1,21,0.059074361,0.001388652,1517.75,923163.2589,32,0,10000,0,10000,0,10000
40000,0,10000,1,25,0.074375446,0.003562482,4016.191176,23637467.23,276,1,301,0,10000,0,10000
40000,1,325,1,23,0.066358072,0.001773691,3244.164983,12779502.16,301,0,10000,0,10000,0,10000
40000,1,289,1,23,0.066661023,0.002793233,6217.773077,64359620.72,264,0,10000,0,10000,0,10000
40000,1,740,1,21,0.05961335,0.001520466,3806.033661,23917140.07,717,0,10000,0,10000,0,10000
40000,1,189,1,22,0.076534506,0.002817243,2991.795031,13183027.12,165,0,10000,0,10000,0,10000
40000,1,253,1,20,0.0589298,0.001876517,5041.894737,37766069.13,232,0,10000,0,10000,0,10000
40000,1,61,1,22,0.132768415,0.008987119,525.8823529,376927.4567,38,0,10000,0,10000,0,10000
40000,0,10000,1,25,0.08938357,0.009585078,3750.131034,21603406.83,149,1,174,0,10000,0,10000
40000,1,664,1,23,0.0565811,0.001573897,5045.725984,39594702.52,639,0,10000,0,10000,0,10000
40000,0,10000,1,20,0.087521875,0.004851038,1531.211679,2090638.897,141,1,161,0,10000,0,10000
40000,0,10000,1,23,0.074366156,0.001658899,2525.4375,5376236.746,36,1,59,0,10000,0,10000
40000,0,10000,1,21,0.055036808,0.001480833,4923.91844,49457301.87,286,1,307,0,10000,0,10000
40000,1,761,1,24,0.049201335,0.000765989,4204.228454,24740381.89,735,0,10000,0,10000,0,10000
40000,1,319,1,23,0.08286713,0.007589668,4279.560137,35500825.15,295,0,10000,0,10000,0,10000
40000,1,198,1,24,0.05804117,0.000868724,3474.810651,15180395.95,173,0,10000,0,10000,0,10000
40000,1,107,1,23,0.074203542,0.003531229,5178.64557,30551823.19,83,0,10000,0,10000,0,10000
40000,1,114,1,20,0.072867184,0.006874798,5012.579545,20132747.45,92,0,10000,0,10000,0,10000
50000,1,61,1,25,0.062912216,0.000592321,1527.451613,3181066.893,35,0,10000,0,10000,0,10000
50000,1,544,1,21,0.060153112,0.001729983,5753.806576,41098130.83,521,0,10000,0,10000,0,10000
50000,0,10000,1,23,0.062632833,0.001834646,5716.751285,53900784.03,977,0,10000,0,10000,1,0.41713
50000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,55,1,23,0.12487873,0.011316187,7044.444444,55755757.95,31,0,10000,0,10000,0,10000
50000,0,10000,1,24,0.059985939,0.00139174,4904.707101,39948356.23,342,1,366,0,10000,0,10000
50000,0,10000,1,21,0.063437221,0.002895274,5185.132075,54603640.39,481,1,502,0,10000,0,10000
50000,0,10000,1,19,0.068787578,0.001726358,4161.32967,17993317.3,277,1,296,0,10000,0,10000
50000,0,10000,1,22,0.054097815,0.001065475,6357.454191,63798068.74,517,1,539,0,10000,0,10000
50000,1,130,1,22,0.059981819,0.001806396,5790.165049,64532825.15,107,0,10000,0,10000,0,10000
50000,0,10000,1,21,0.079467181,0.002365758,1837.428571,2879934.245,25,1,46,0,10000,0,10000
50000,0,10000,1,24,0.05956214,0.001633815,7117.367816,59825133.21,178,1,202,0,10000,0,10000
50000,0,10000,1,24,0.056984602,0.000842486,4287.02381,14022995.95,424,1,448,0,10000,0,10000
50000,1,243,1,21,0.061366339,0.000882884,3256.718894,8811961.354,221,0,10000,0,10000,0,10000
50000,1,54,1,23,0.092964431,0.002404266,2977.538462,10302614.56,30,0,10000,0,10000,0,10000
50000,1,647,1,27,0.065663307,0.002028207,3653.143322,21207073.2,618,0,10000,0,10000,0,10000
50000,1,573,1,23,0.076081299,0.004219301,4155.46055,25330759.12,549,0,10000,0,10000,0,10000
50000,1,211,1,22,0.091292877,0.003819706,2127.983696,6589554.929,188,0,10000,0,10000,0,10000
50000,0,10000,1,21,0.070080994,0.002212448,3812.120894,19404968.93,765,1,786,0,10000,0,10000
50000,0,10000,1,20,0.081731745,0.004494392,4130.334792,33010898.05,461,1,481,0,10000,0,10000
60000,1,351,1,24,0.081412259,0.006235524,4260.92236,33248991.57,326,0,10000,0,10000,0,10000
