"","R1 Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase","ResWithChase","ResWithoutChase"
"34",0,0,10000,1,25,0.077820436,0.002648127,0.035126251,0.000791013,7485.508754,29676343.33,975,0,10000,0,10000,1,0.830318,0,10000,0,0,0,0
"35",0,1,86,1,24,0.076648669,0.001027794,0.034365941,0.000216663,5012.462963,4536292.063,58,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"36",0,1,223,1,25,0.060863825,0.001179895,0.025811039,0.000263572,9935.531579,66491478.7,194,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"37",0,1,240,1,24,0.09303118,0.004855767,0.047541422,0.001918837,7290.401914,41590355.59,213,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"38",0,1,195,1,23,0.090902227,0.006470282,0.044767596,0.002290133,6609.357576,21005342.04,169,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"39",0,1,405,1,24,0.097188357,0.007502291,0.046943895,0.00280992,7246.264,24814078.44,379,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"40",0,0,10000,1,26,0.07789912,0.005927965,0.034780913,0.002169591,7635.284536,23432566.81,974,0,10000,0,10000,1,0.820536,0,10000,0,0,0,0
"41",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"42",0,1,176,1,28,0.076428446,0.002776527,0.035412126,0.001031048,7740.588652,29791567.48,145,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"43",0,1,30,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"44",0,1,144,1,26,0.092229363,0.008163583,0.047247355,0.002907781,12345.62162,151722896.8,115,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"45",0,0,10000,1,25,0.07754052,0.003494978,0.033796315,0.001125056,7395.633368,26787573.36,975,0,10000,0,10000,1,0.636554,0,10000,0,0,0,0
"46",0,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"47",0,1,748,1,22,0.06783536,0.00183533,0.02953591,0.000566214,7712.340278,30597359.19,724,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"48",0,0,10000,1,24,0.080658574,0.003096292,0.036858641,0.001098064,7711.473251,36628431.05,976,0,10000,0,10000,1,0.89451,0,10000,0,0,0,0
"49",0,1,370,1,25,0.072509557,0.002938695,0.028534371,0.000470884,8746.958702,35662606,343,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"50",0,1,85,1,28,0.088126739,0.001301514,0.038284351,0.000696521,5611.313725,7510000.49,55,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"51",0,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"52",0,1,123,1,22,0.082162993,0.00212302,0.033703086,0.000684508,7465.652632,20922953.17,99,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"53",0,0,10000,1,26,0.069755443,0.001427573,0.028855764,0.000385577,7675.201031,20800990.78,974,0,10000,0,10000,1,0.898643,0,10000,0,0,0,0
"54",0,1,243,1,26,0.071611767,0.001621678,0.033612079,0.000759707,8754.37619,46597923.22,214,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"55",0,1,339,1,26,0.080369369,0.004288612,0.036362042,0.001360492,7750.847403,28486587.8,312,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"56",0,1,53,1,24,0.061819373,0.000606662,0.0229077,0.000171543,8630.318182,25355132.85,26,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"57",0,1,360,1,24,0.073495614,0.002335768,0.031211837,0.000530295,7691.322188,20746469.8,333,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"58",0,1,993,1,24,0.070760888,0.001675841,0.030965621,0.000481544,7565.007277,21482856.94,966,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"59",0,1,972,1,24,0.084005263,0.006228465,0.040211258,0.002733301,7468.213376,23023037.13,946,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"60",0,1,306,1,26,0.0826814,0.002520288,0.039852178,0.000897162,6359.967153,24509271.09,278,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"61",0,0,10000,1,27,0.071885484,0.006590019,0.034631289,0.001143378,7508.702703,30865706.91,41,1,68,0,10000,0,10000,0,10000,1,0,0,0
"62",0,1,608,1,24,0.095483538,0.00506345,0.046314939,0.001865938,6131.501736,22386837.17,580,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"63",0,0,10000,1,24,0.094729675,0.004758608,0.047329342,0.000849996,4686.738636,10169739.37,92,1,116,0,10000,0,10000,0,10000,1,0,0,0
"64",0,1,411,1,28,0.069520591,0.00295317,0.027907354,0.000732601,8882.802667,36276663.98,379,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"65",0,1,623,1,24,0.081451016,0.005863814,0.03857618,0.00322695,6967.265993,27273068.21,598,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"66",0,1,105,1,26,0.075681038,0.002519518,0.039426049,0.001027523,9074.319444,57667646.08,76,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"67",0,0,10000,1,23,0.109082683,0.009802085,0.057310997,0.004052824,5282.264901,14481366.29,155,1,178,0,10000,0,10000,0,10000,1,0,0,0
"68",0,0,10000,1,23,0.073919718,0.003780739,0.033207745,0.001726337,7310.406989,20087074.38,977,0,10000,0,10000,1,0.936741,0,10000,0,0,0,0
"69",0,1,768,1,23,0.076714889,0.003359487,0.035119766,0.000904991,7537.241192,32925361.98,742,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"70",0,1,677,1,23,0.081902441,0.005851573,0.039398587,0.002215897,9704.434312,88356328.45,651,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"71",0,1,604,1,23,0.077283681,0.002796621,0.034966429,0.000757511,7674.759582,29711744.42,578,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"72",0,1,232,1,29,0.086767303,0.004126776,0.040984606,0.001357466,6436.612245,13796111.58,200,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"73",0,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"74",0,1,30,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"75",0,1,305,1,23,0.079283031,0.001606926,0.034722421,0.000426825,7441.315217,37143591.74,280,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"76",0,1,985,1,24,0.084504078,0.003685002,0.039666785,0.001512034,6888.655497,20576028.28,959,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"77",0,1,436,1,23,0.094805876,0.008722239,0.046024013,0.003659088,7526.473039,32822709.92,412,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"78",0,1,196,1,26,0.095713529,0.006585137,0.051696388,0.003443334,9042.743902,74459968.01,168,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"79",0,1,120,1,26,0.093193791,0.004652571,0.038407982,0.000829929,7445.91954,19663507.2,91,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"80",0,1,710,1,23,0.087831633,0.00569678,0.04182505,0.002154024,6951.317181,21810685.15,685,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"81",0,1,90,1,24,0.11137211,0.008141253,0.054998987,0.002581496,4710.516667,7384312.583,64,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"82",0,1,217,1,26,0.085442986,0.010773826,0.036870386,0.003769283,7570.288043,18559691.43,188,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"83",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"84",0,1,30,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"85",0,0,10000,1,22,0.068496316,0.001474204,0.028913677,0.000424803,7283.482505,12934843.69,547,1,569,0,10000,0,10000,0,10000,1,0,0,0
"86",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"87",0,1,155,1,23,0.097941159,0.004613362,0.048543724,0.002104716,5602.785714,13274731.58,130,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"88",0,1,740,1,26,0.082305629,0.003955479,0.038410876,0.001414475,6853.00565,22568389.59,712,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"89",0,1,140,1,23,0.075967401,0.001296571,0.03446696,0.000211372,5924.490909,17213837.49,114,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"90",0,0,10000,1,25,0.069976944,0.001756921,0.029454346,0.000431104,7787.76828,23520666.98,975,0,10000,0,10000,1,0.827415,0,10000,0,0,0,0
"91",0,1,623,1,23,0.083957038,0.002906852,0.037022157,0.000703237,6698.043845,24488364.85,597,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"92",0,1,78,1,22,0.091143645,0.005233474,0.040474347,0.001188477,5755.816327,11834576.23,53,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"93",0,1,437,1,23,0.086318773,0.006889027,0.039899317,0.003127178,7064.818627,21185024.16,412,0,10000,0,10000,0,10000,0,10000,0,0,0,0
