,R1 Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase,ResWithChase,ResWithoutChase
33,0,0,10000,1,21,0.062215312,0.001300627,0.030600942,0.000344756,10494.96036,55353124.47,559,1,580,0,10000,0,10000,0,10000,1,0,0,0
34,0,1,83,1,20,0.124363338,0.010695803,0.068743269,0.003020616,3870.362069,6319922.645,62,0,10000,0,10000,0,10000,0,10000,0,0,0,0
35,0,1,627,1,21,0.06823904,0.006000325,0.03573674,0.00236865,10606.39733,70330022.96,603,0,10000,0,10000,0,10000,0,10000,0,0,0,0
36,0,1,619,1,25,0.067712149,0.002259443,0.034597304,0.000666661,9373.315162,56342918.05,591,0,10000,0,10000,0,10000,0,10000,0,0,0,0
37,0,1,144,1,24,0.058919978,0.001726662,0.031486605,0.000629327,13607.60177,132686050.9,117,0,10000,0,10000,0,10000,0,10000,0,0,0,0
38,0,1,161,1,22,0.056514058,0.001881454,0.027579687,0.000584947,11894.03788,73032698.19,136,0,10000,0,10000,0,10000,0,10000,0,0,0,0
39,0,1,415,1,22,0.069596712,0.003080638,0.037601431,0.001265571,10145.86563,73952019.55,391,0,10000,0,10000,0,10000,0,10000,0,0,0,0
40,0,1,98,1,23,0.11954253,0.007523671,0.066059635,0.002162323,4749.521739,11853662.16,73,0,10000,0,10000,0,10000,0,10000,0,0,0,0
41,0,0,10000,1,23,0.066211589,0.004581012,0.032497292,0.001684109,9919.968391,76182000.54,700,1,723,0,10000,0,10000,0,10000,1,0,0,0
42,0,1,93,1,20,0.067118112,0.004339047,0.033946619,0.002373556,10624.8209,34098602.33,71,0,10000,0,10000,0,10000,0,10000,0,0,0,0
43,0,1,473,1,21,0.072766377,0.002610803,0.03733964,0.001132623,8810.154362,44184278.04,451,0,10000,0,10000,0,10000,0,10000,0,0,0,0
44,0,1,121,1,23,0.068589867,0.003407517,0.030165641,0.000487217,10279.1978,62990506.8,95,0,10000,0,10000,0,10000,0,10000,0,0,0,0
45,0,0,10000,1,23,0.055875183,0.002306676,0.028473846,0.001067769,11082.3443,58791788.52,977,0,10000,0,10000,1,0.425971,0,10000,0,0,0,0
46,0,0,10000,1,22,0.063494474,0.001397441,0.03045247,0.0004551,6902.907692,21609981.5,69,1,91,0,10000,0,10000,0,10000,1,0,0,0
47,0,1,731,1,27,0.060437859,0.002575763,0.030455612,0.001069857,10684.24677,58185133.73,701,0,10000,0,10000,0,10000,0,10000,0,0,0,0
48,0,1,355,1,21,0.075320888,0.003449399,0.037766424,0.00102371,10312.80428,70664550.43,331,0,10000,0,10000,0,10000,0,10000,0,0,0,0
49,0,1,55,1,23,0.079825936,0.001499849,0.0458819,0.000960307,7768,16837441.76,29,0,10000,0,10000,0,10000,0,10000,0,0,0,0
50,0,1,436,1,23,0.07481554,0.002431172,0.038393022,0.000925731,8670.125307,42943520.62,411,0,10000,0,10000,0,10000,0,10000,0,0,0,0
51,0,0,10000,1,23,0.077447859,0.001451052,0.038453643,0.000571357,7323.767857,18940737.66,116,1,139,0,10000,0,10000,0,10000,1,0,0,0
52,0,0,10000,1,22,0.051193584,0.001307014,0.025397601,0.00043346,11348.89633,61354388.14,467,1,489,0,10000,0,10000,0,10000,1,0,0,0
53,0,1,293,1,21,0.055365821,0.001223399,0.026826868,0.000373166,11833.12453,90701211.66,269,0,10000,0,10000,0,10000,0,10000,0,0,0,0
54,0,1,127,1,25,0.058238405,0.000951232,0.028143123,0.000227906,11264.47368,49127741.13,99,0,10000,0,10000,0,10000,0,10000,0,0,0,0
55,0,1,468,1,19,0.06822196,0.004719335,0.034589093,0.001886325,10583.6448,66745949.39,446,0,10000,0,10000,0,10000,0,10000,0,0,0,0
56,0,1,126,1,22,0.094781948,0.029538993,0.052651784,0.013336057,12433.33673,62975767.51,102,0,10000,0,10000,0,10000,0,10000,0,0,0,0
57,0,0,10000,1,23,0.065631607,0.001588297,0.034807262,0.000718364,8431.126866,44237324.72,272,1,295,0,10000,0,10000,0,10000,1,0,0,0
58,0,0,10000,1,23,0.056230588,0.001405348,0.025437978,0.000390638,11680.10086,68893878.72,351,1,374,0,10000,0,10000,0,10000,1,0,0,0
59,0,1,428,1,21,0.064431038,0.00531102,0.032525112,0.0021089,10926.4275,66430176.2,404,0,10000,0,10000,0,10000,0,10000,0,0,0,0
60,0,1,146,1,23,0.078631872,0.002500697,0.04351105,0.001063787,8203.752137,47801629.49,121,0,10000,0,10000,0,10000,0,10000,0,0,0,0
61,0,1,306,1,22,0.069116278,0.00283899,0.035611152,0.000990283,11584.15523,66989460.25,281,0,10000,0,10000,0,10000,0,10000,0,0,0,0
