Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.82,133,1,547,1,34,0.086103646,0.01552728,1359.524655,623660.1034,511,0,10000,0,10000,0,10000,0.115762573
0.8,0.82,127,1,260,1,93,0.096869492,0.015284332,1448.907407,746889.6519,166,0,10000,0,10000,0,10000,0.117956655
0.8,0.82,113,1,280,1,148,0.136032267,0.029178872,1108.436508,396902.1507,130,0,10000,0,10000,0,10000,0.110180753
0.8,0.82,122,1,241,1,103,0.094065159,0.021577348,1685.947368,863875.1175,137,0,10000,0,10000,0,10000,0.109829931
0.8,0.82,133,1,379,1,217,0.12893198,0.017277005,852.9166667,158273.6405,161,0,10000,0,10000,0,10000,0.11449829
0.8,0.82,109,1,267,1,83,0.073597683,0.010650377,1631.173184,654173.1376,183,0,10000,0,10000,0,10000,0.115135372
0.8,0.82,105,1,257,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.110421638
0.8,0.82,124,1,249,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.116181267
0.8,0.82,114,1,227,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.118263963
0.8,0.82,125,1,233,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.123161685
0.8,0.82,125,1,296,1,29,0.062938095,0.013578702,1975.122605,825703.9467,266,0,10000,0,10000,0,10000,0.08810662
0.8,0.82,120,1,261,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.104709802
0.8,0.82,123,1,227,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.113386195
0.8,0.82,118,1,244,1,95,0.092782338,0.010027023,1379.291667,665039.4566,148,0,10000,0,10000,0,10000,0.126246844
0.8,0.82,104,1,224,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.11460592
0.8,0.82,123,1,220,1,58,0.086841504,0.012971656,1515.515924,664238.8357,161,0,10000,0,10000,0,10000,0.153334978
0.8,0.82,127,1,252,1,128,0.113253647,0.010535828,1091.336134,397836.5593,123,0,10000,0,10000,0,10000,0.10986966
0.8,0.82,124,1,244,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.120677104
0.8,0.83,101,1,383,1,198,0.115163686,0.022134258,1182.683333,418320.9386,184,0,10000,0,10000,0,10000,0.112176623
