Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.82,101,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,426,0,10000,0.341312031
0.8,0.82,137,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,280,0,10000,0.464833081
0.8,0.82,134,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,428,0,10000,0.526739275
0.8,0.82,102,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,327,0,10000,0.456205867
0.8,0.82,98,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,244,0,10000,0.428664766
0.8,0.82,117,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,246,0,10000,0.293543179
0.8,0.82,120,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,235,0,10000,0.418633772
0.8,0.83,125,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,210,0,10000,0.408893747
0.8,0.83,106,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,228,0,10000,0.423400465
0.8,0.83,92,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,239,0,10000,0.249525187
0.8,0.83,113,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,545,0,10000,0.29902875
0.8,0.83,123,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,231,0,10000,0.314098379
0.8,0.83,112,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,220,0,10000,0.308496838
0.8,0.83,144,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,233,0,10000,0.295308244
0.8,0.83,119,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,232,0,10000,0.219387144
0.8,0.83,105,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,501,0,10000,0.36311538
0.8,0.83,98,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,239,0,10000,0.330653352
0.8,0.83,84,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,220,0,10000,0.266726627
0.8,0.83,100,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,242,0,10000,0.285265892
0.8,0.83,114,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,224,0,10000,0.364503967
0.8,0.83,112,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,221,0,10000,0.41520795
0.8,0.83,127,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,513,0,10000,0.42765564
0.8,0.83,92,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,208,0,10000,0.266664007
0.8,0.83,117,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,440,0,10000,0.330479787
0.8,0.83,93,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,367,0,10000,0.411616239
0.8,0.83,108,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,275,0,10000,0.207335868
0.8,0.83,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0
0.8,0.84,87,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,230,0,10000,0.46189388
0.8,0.84,102,1,479,1,21,0.064235839,0.00706179,1591.159292,843678.6649,456,0,10000,0,10000,0,10000,0.075224282
0.8,0.84,109,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,450,0,10000,0.243768674
0.8,0.84,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
0.8,0.84,117,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,705,0,10000,0.383998678
0.8,0.84,113,0,10000,0,10000,10000,10000,1000000,1000000,10000,0,10000,1,413,0,10000,0.5857069
