Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.81,87,0,10000,1,37,0.02600635,0.000298598,1610.283629,435889.4378,963,0,10000,0,10000,1,0.374439,0.153059085
0.8,0.81,84,0,10000,1,35,0.024469275,0.000262911,1647.01873,385151.4627,965,0,10000,0,10000,1,0.414943,0.119711542
0.8,0.82,77,0,10000,1,31,0.021288182,0.000135214,1812.668394,489728.3999,969,0,10000,0,10000,1,0.462622,0.099976056
0.8,0.82,84,0,10000,1,20,0.029492613,0.000481362,1700.964139,449922.8891,980,0,10000,0,10000,1,0.130655,0.086037944
0.8,0.82,89,0,10000,1,24,0.023539707,0.000276041,1826.234568,396563.9532,976,0,10000,0,10000,1,0.200524,0.09145323
0.8,0.82,111,0,10000,1,37,0.028276492,0.000378076,1647.544317,464680.5025,963,0,10000,0,10000,1,0.331625,0.086762121
0.8,0.82,87,0,10000,1,40,0.025394252,0.000361046,1651.662134,402095.0187,960,0,10000,0,10000,1,0.438869,0.113287931
0.8,0.82,80,0,10000,1,35,0.023402252,0.00016876,1728.657648,421256.3126,965,0,10000,0,10000,1,0.303579,0.103048139
0.8,0.82,89,0,10000,1,43,0.023554541,0.000293261,1806.310598,363907.595,957,0,10000,0,10000,1,0.357585,0.094813985
0.8,0.82,79,0,10000,1,34,0.024726996,0.000184531,1649.904366,378839.1676,966,0,10000,0,10000,1,0.358187,0.117490823
0.8,0.82,88,0,10000,1,18,0.026142082,0.000307309,1734.99182,411247.7893,982,0,10000,0,10000,1,0.176054,0.093404921
0.8,0.82,71,0,10000,1,20,0.022699779,0.000179559,1768,412721.9447,980,0,10000,0,10000,1,0.20433,0.08823635
0.8,0.82,68,0,10000,1,21,0.022922747,0.000218417,1784.270769,428902.6898,979,0,10000,0,10000,1,0.245146,0.110329135
0.8,0.82,84,0,10000,1,28,0.022753545,0.000147541,1717.78719,393113.0436,972,0,10000,0,10000,1,0.308857,0.104298029
0.8,0.82,81,0,10000,1,29,0.024523913,0.000174685,1707.067218,397678.526,971,0,10000,0,10000,1,0.279646,0.138727568
0.8,0.82,94,0,10000,1,29,0.025442942,0.000385163,1755.996898,448159.6598,971,0,10000,0,10000,1,0.216646,0.080998908
0.8,0.82,81,0,10000,1,24,0.022876383,0.000289447,1844.75823,582149.2944,976,0,10000,0,10000,1,0.485366,0.10011409
0.8,0.82,86,0,10000,1,38,0.029033486,0.000691404,1735.319415,655489.1151,962,0,10000,0,10000,1,0.0688468,0.121000918
0.8,0.82,91,0,10000,1,25,0.021476511,0.000231545,1822.943357,457675.0071,975,0,10000,0,10000,1,0.2513,0.100519395
0.8,0.82,68,0,10000,1,32,0.023385586,0.000164578,1687.764523,404068.2609,968,0,10000,0,10000,1,0.494307,0.099626504
0.8,0.82,89,0,10000,1,24,0.021600444,0.00011721,1718.723251,381796.7948,976,0,10000,0,10000,1,0.201472,0.08931382
0.8,0.82,82,0,10000,1,49,0.02607852,0.002281862,1994.302326,758715.9505,219,1,268,0,10000,0,10000,0.103982771
0.8,0.83,77,0,10000,1,24,0.023670124,0.00016082,1727.323045,381203.8216,976,0,10000,0,10000,1,0.142135,0.108701395
0.8,0.83,99,0,10000,1,36,0.030026052,0.000574134,1706.395833,645122.1371,964,0,10000,0,10000,1,0.1698,0.110827344
0.8,0.83,68,0,10000,1,21,0.023572713,0.00021923,1795.761026,525324.2044,979,0,10000,0,10000,1,0.262032,0.085903618
0.8,0.83,77,0,10000,1,23,0.025588199,0.000208357,1669.960946,369368.3623,977,0,10000,0,10000,1,0.190338,0.155063053
0.8,0.83,95,0,10000,1,37,0.026109057,0.000205893,1631.991658,325726.0041,963,0,10000,0,10000,1,0.30589,0.107452952
0.8,0.83,86,0,10000,1,40,0.02671364,0.00038299,1692.350418,486726.4347,960,0,10000,0,10000,1,0.228412,0.110355336
0.8,0.83,82,0,10000,1,28,0.025892407,0.000328833,1691.081612,408098.484,972,0,10000,0,10000,1,0.381104,0.093753246
0.8,0.83,77,0,10000,1,25,0.0317984,0.00062278,1636.505664,468686.905,975,0,10000,0,10000,1,0.138799,0.103281871
0.8,0.83,80,0,10000,1,35,0.023741175,0.000140023,1715.237253,277809.8813,965,0,10000,0,10000,1,0.194998,0.135875365
0.8,0.83,110,0,10000,1,41,0.032618796,0.00079878,1644.658639,544022.8615,959,0,10000,0,10000,1,0.105505,0.094395373
0.8,0.83,96,0,10000,1,38,0.024840611,0.000263752,1772.942589,403201.3652,962,0,10000,0,10000,1,0.256496,0.117211791
0.8,0.83,97,1,580,1,31,0.024733601,0.000415536,1668.998158,494261.1731,547,0,10000,0,10000,0,10000,0.118931759
0.8,0.83,79,0,10000,1,22,0.031031431,0.001651971,1746.522587,605264.7834,978,0,10000,0,10000,1,0.107007,0.086773722
0.8,0.83,85,0,10000,1,41,0.026054736,0.000323712,1811.988482,509333.8711,959,0,10000,0,10000,1,0.192747,0.097098335
