Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,97,0,10000,0,10000,0.028997362
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.012178725
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,50,0,10000,0,10000,0.021187418
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,37,0,10000,0,10000,0.029063461
2,0.003,0,0,10000,1,119,0.006356751,8.39E-06,3171.79868,104487.91,307,1,426,0,10000,0,10000,0.030610867
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,115,0,10000,0,10000,0.026597474
2,0.003,0,0,10000,1,45,0.002696488,1.56E-06,3615.234043,43880.05161,98,1,143,0,10000,0,10000,0.041409225
2,0.0035,0,0,10000,1,72,0.010027292,2.47E-05,2927.704545,179478.89,92,1,164,0,10000,0,10000,0.033810781
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,55,0,10000,0,10000,0.020537558
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,87,0,10000,0,10000,0.028486031
2,0.0035,0,0,10000,1,35,0.006610694,1.10E-05,3229.962963,126064.906,112,1,147,0,10000,0,10000,0.027213255
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,95,0,10000,0,10000,0.031227356
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.024332219
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,105,0,10000,0,10000,0.027662265
