Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.003,0,0,10000,1,49,0.002731552,1.61E-06,3600.97619,27248.62642,130,1,179,0,10000,0,10000,0.022191779
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,24,0,10000,0,10000,0.018833498
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.021145508
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.01484964
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,30,0,10000,0,10000,0.026061497
2,0.003,0,0,10000,1,24,0.004702606,2.49E-06,3369.375,47743.10938,164,1,188,0,10000,0,10000,0.02243984
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,33,0,10000,0,10000,0.02552518
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.019623097
2,0.0035,0,0,10000,1,16,0.009538348,1.96E-05,2932.705556,167183.7411,184,1,200,0,10000,0,10000,0.039783733
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.026660603
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000,0.031681256
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,37,0,10000,0,10000,0.030128662
2,0.0035,0,0,10000,1,19,0.002202153,7.50E-07,3720.454545,12084.61157,48,1,67,0,10000,0,10000,0.02887342
2,0.0035,0,0,10000,1,52,0.007797427,7.19E-05,3215.121212,483162.9974,334,1,386,0,10000,0,10000,0.031497721
2,0.0035,0,0,10000,1,148,0.014323167,2.89E-06,2517.188406,23994.32682,73,1,221,0,10000,0,10000,0.03003206
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,73,0,10000,0,10000,0.027787344
2,0.0035,0,0,10000,1,59,0.006262428,7.07E-06,3205.292683,72683.47531,127,1,186,0,10000,0,10000,0.036326576
2,0.0035,0,0,10000,1,29,0.004782466,3.57E-06,3397.5,48080.10714,88,1,117,0,10000,0,10000,0.04277954
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,97,0,10000,0,10000,0.033619527
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,68,0,10000,0,10000,0.028134714
2,0.0035,0,0,10000,1,46,0.001794435,5.75E-07,3752.113924,22858.35411,83,1,129,0,10000,0,10000,0.030307371
2,0.0035,0,0,10000,1,33,0.001660797,3.99E-08,3742.87037,10226.07579,58,1,91,0,10000,0,10000,0.052121741
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,16,0,10000,0,10000,0.023605782
2,0.0035,0,0,10000,1,50,0.004125041,2.18E-06,3408.577586,49714.26122,120,1,170,0,10000,0,10000,0.047373609
2,0.0035,0,0,10000,1,52,0.005473909,2.51E-06,3252.348214,30005.5841,116,1,168,0,10000,0,10000,0.038734175
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,42,0,10000,0,10000,0.030279198
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,12,0,10000,0,10000,0.027826271
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,56,0,10000,0,10000,0.03208022
2,0.004,0,0,10000,1,78,0.007357737,9.57E-06,3101.259259,87553.51056,139,1,217,0,10000,0,10000,0.036716009
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,5,0,10000,0,10000,nan
2,0.004,140,0,10000,1,38,0.010923375,1.76E-05,2778.80574,145213.8122,457,1,495,0,10000,0,10000,0.0365666
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,36,0,10000,0,10000,0.037529395
2,0.004,0,0,10000,1,31,0.007604959,3.43E-06,3086.673913,40279.65454,96,1,127,0,10000,0,10000,0.0460708
2,0.004,169,0,10000,1,105,0.018770097,0.000121615,2424.080925,356563.5657,177,1,282,0,10000,0,10000,0.030772537
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,159,0,10000,0,10000,0.044411001
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.031554002
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,13,0,10000,0,10000,0.022688388
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,62,0,10000,0,10000,0.035975602
2,0.004,0,0,10000,1,20,0.006250798,5.98E-06,3218.514706,79581.97527,208,1,228,0,10000,0,10000,0.026767603
2,0.004,0,0,10000,1,59,0.005771303,2.39E-06,3238.168582,32790.50798,265,1,324,0,10000,0,10000,0.042773481
2,0.004,0,0,10000,1,48,0.004471922,1.14E-06,3356.877551,25347.12786,53,1,101,0,10000,0,10000,0.033909784
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.01396756
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,17,0,10000,0,10000,0.034626125
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,47,0,10000,0,10000,0.033150718
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000,0.024795765
2,0.004,182,0,10000,1,27,0.012297165,0.000222492,2953.472279,594188.3889,491,1,518,0,10000,0,10000,0.030850544
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,116,0,10000,0,10000,0.033981632
2,0.0045,161,0,10000,1,63,0.028831406,0.000152775,1956.647303,246226.2781,245,1,308,0,10000,0,10000,0.047272071
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,21,0,10000,0,10000,0.029613899
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,147,0,10000,0,10000,0.039751808
2,0.0045,0,0,10000,1,76,0.007194584,3.06E-06,3035.694656,27337.92203,135,1,211,0,10000,0,10000,0.045300114
2,0.0045,164,1,394,1,111,0.110895106,0.027773336,1356.708633,574533.1417,282,0,10000,0,10000,0,10000,0.042170283
2,0.0045,155,0,10000,1,61,0.008806728,5.67E-05,3044.304029,347197.2372,550,1,611,0,10000,0,10000,0.043334014
2,0.0045,150,0,10000,1,218,0.081758611,0.001970904,965.0629921,108508.7362,131,1,349,0,10000,0,10000,0.042505158
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,47,0,10000,0,10000,0.052283579
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,35,0,10000,0,10000,0.044857136
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,80,0,10000,0,10000,0.039499279
2,0.0045,143,0,10000,1,86,0.028064663,0.000260162,2017.815789,364415.0779,308,1,394,0,10000,0,10000,0.039391999
2,0.0045,117,1,546,1,117,0.048616336,0.021121399,2618.96934,958405.1524,428,0,10000,0,10000,0,10000,0.049210344
2,0.0045,0,0,10000,1,24,0.011071117,7.82E-05,2901.404762,425256.1139,130,1,154,0,10000,0,10000,0.040871775
2,0.0045,0,0,10000,1,55,0.003708528,3.14E-08,3454.4,9424.24,19,1,74,0,10000,0,10000,0.043519031
2,0.0045,131,0,10000,1,126,0.011284372,2.77E-05,2787.745856,137106.0128,185,1,311,0,10000,0,10000,0.044568059
2,0.0045,134,0,10000,1,37,0.014107393,9.18E-05,2683.227273,458923.0434,246,1,283,0,10000,0,10000,0.035658285
2,0.0045,0,0,10000,1,83,0.00932116,1.28E-07,2909.1,9720.69,14,1,97,0,10000,0,10000,0.040395854
2,0.0045,246,0,10000,1,71,0.012798569,5.54E-05,2728.841935,334170.4944,314,1,385,0,10000,0,10000,0.041316624
2,0.0045,144,0,10000,1,71,0.016106672,3.48E-05,2430.348837,131666.483,348,1,419,0,10000,0,10000,0.037541621
2,0.0045,146,0,10000,1,70,0.003796094,1.70E-06,3479.149321,34141.57499,225,1,295,0,10000,0,10000,0.0492944
2,0.005,148,0,10000,1,60,0.013130968,7.10E-05,2698.703252,291850.6071,250,1,310,0,10000,0,10000,0.048159829
2,0.005,118,0,10000,1,76,0.004243395,7.33E-06,3399.7,95131.65706,174,1,250,0,10000,0,10000,0.056604838
2,0.005,128,1,268,1,23,0.072648705,0.0080258,1757.895833,1116467.043,244,0,10000,0,10000,0,10000,0.044271732
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,157,0,10000,0,10000,0.044173611
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,35,0,10000,0,10000,0.04699559
2,0.005,128,1,252,1,53,0.113559847,0.039775222,1540.974093,780965.5486,197,0,10000,0,10000,0,10000,0.049166373
2,0.005,119,1,889,1,43,0.030929088,0.002924678,2324.316667,664216.564,844,0,10000,0,10000,0,10000,0.034331983
2,0.005,131,0,10000,1,76,0.054454824,0.014668572,2364.203252,1192615.203,250,1,326,0,10000,0,10000,0.050216917
2,0.005,0,0,10000,1,20,0.011969271,7.24E-05,2821.807018,358916.6294,118,1,138,0,10000,0,10000,0.055049831
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,158,0,10000,0,10000,0.052219147
