Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,7,0,10000,0,10000,0.0142028
2,0.003,0,0,10000,1,32,0.00135257,6.83E-08,3707,25,6,1,38,0,10000,0,10000,0.02609179
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,27,0,10000,0,10000,0.013504428
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,53,0,10000,0,10000,0.027588571
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.014751848
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.02102056
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,22,0,10000,0,10000,0.010662621
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,12,0,10000,0,10000,0.012945054
2,0.003,0,0,10000,1,52,0.002921305,1.27E-07,3550.375,5597.401042,28,1,80,0,10000,0,10000,0.022415782
2,0.003,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0.00868161
2,0.0035,0,0,10000,1,90,0.004855263,1.08E-07,3226.5,1368.916667,10,1,100,0,10000,0,10000,0.024396785
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,55,0,10000,0,10000,0.022497199
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0035,0,0,10000,1,55,0.002411559,2.63E-07,3613.333333,21794.22222,22,1,77,0,10000,0,10000,0.019860124
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,12,0,10000,0,10000,0.0268418
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0.00800892
2,0.0035,0,0,10000,1,23,0.001173332,1.55E-07,3795.052632,15995.57618,42,1,65,0,10000,0,10000,0.027991639
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,28,0,10000,0,10000,0.021589331
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,5,0,10000,0,10000,nan
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.0164552
