Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
10,,0.422271,0.0753599,0.502369,NA,0.25041,43896,,0.426725,0.0728345,0.500441,NA,0.244503,44251,,0.399689,0.0963415,0.503969,NA,0.316188,41820,,0.420868,0.0799322,0.4992,NA,0.266247,43099,,0.432154,0.0728683,0.494978,NA,0.242705,44107,,0.422094,0.0785161,0.49939,NA,0.263207,42590,,0.413076,0.0841242,0.5028,NA,0.277364,42675,,0.421973,0.0795096,0.498517,NA,0.27344,43152,,0.431924,0.0680644,0.500011,NA,0.235091,43547,,0.426049,0.0732846,0.500667,NA,0.250195,43488,,0.42444,0.0763056,0.499255,NA,0.256026,43601,,0.418866,0.0850417,0.496092,NA,0.276514,42732,,0.419808,0.0775556,0.502636,NA,0.259796,43053,,0.429441,0.0721758,0.498384,NA,0.231995,44544,,0.420917,0.0805012,0.498582,NA,0.259914,43018,,0.420237,0.0779233,0.50184,NA,0.258986,43761,,0.421929,0.076632,0.501439,NA,0.250572,44133,,0.4184,0.0803341,0.501266,NA,0.249068,43456,,0.418017,0.0826184,0.499364,NA,0.267036,43247,,0.421504,0.0769089,0.501587,NA,0.252173,43480
11,,0.39062,0.103647,0.505733,NA,0.345688,41429,,0.399522,0.101395,0.499083,NA,0.340498,41432,,0.368383,0.127451,0.504165,NA,0.427533,39011,,0.389449,0.107663,0.502888,NA,0.366953,40339,,0.403513,0.102542,0.493946,NA,0.34209,40881,,0.388331,0.110451,0.501218,NA,0.361967,40244,,0.380657,0.118052,0.501292,NA,0.384283,40262,,0.388303,0.11338,0.498317,NA,0.379554,40404,,0.397184,0.100767,0.502049,NA,0.325997,41482,,0.392569,0.105855,0.501575,NA,0.343405,41585,,0.392131,0.107603,0.500266,NA,0.350394,41402,,0.387657,0.114169,0.498174,NA,0.379794,39424,,0.394341,0.108127,0.497532,NA,0.36178,40924,,0.403709,0.0973453,0.498946,NA,0.317445,41738,,0.388071,0.10983,0.502099,NA,0.351828,40490,,0.392297,0.11003,0.497672,NA,0.360778,40816,,0.397803,0.107041,0.495156,NA,0.352589,40872,,0.395343,0.104448,0.500209,NA,0.340644,40623,,0.385894,0.110701,0.503405,NA,0.363221,40379,,0.397199,0.104337,0.498464,NA,0.351382,40695
12,,0.362616,0.145424,0.49196,NA,0.466556,38123,,0.357955,0.143093,0.498953,NA,0.453511,38192,,0.315462,0.182217,0.502322,NA,0.558936,34673,,0.346071,0.157499,0.49643,NA,0.490454,37397,,0.356232,0.144423,0.499345,NA,0.45735,37397,,0.344313,0.151813,0.503874,NA,0.478712,37039,,0.335544,0.1615,0.502956,NA,0.505457,36192,,0.340531,0.162206,0.497263,NA,0.509537,36540,,0.366268,0.137305,0.496427,NA,0.442838,38207,,0.351703,0.150059,0.498239,NA,0.465027,37472,,0.351099,0.149834,0.499067,NA,0.475758,36981,,0.3366,0.161406,0.501993,NA,0.506866,36120,,0.345746,0.15359,0.500664,NA,0.485907,36897,,0.364693,0.13482,0.500488,NA,0.429402,37947,,0.348521,0.153572,0.497907,NA,0.476529,37025,,0.347013,0.153393,0.499594,NA,0.485456,36990,,0.347726,0.149403,0.502871,NA,0.47116,37101,,0.356266,0.141528,0.502206,NA,0.463316,37632,,0.342925,0.154693,0.502382,NA,0.48501,36524,,0.354543,0.14523,0.500227,NA,0.467544,37389
13,,0.300344,0.208492,0.491165,NA,0.605841,32596,,0.305291,0.198199,0.49651,NA,0.589248,33093,,0.246954,0.250947,0.5021,NA,0.692255,29050,,0.284746,0.21405,0.501204,NA,0.622387,31572,,0.296184,0.198525,0.505291,NA,0.593457,33074,,0.29273,0.208546,0.498724,NA,0.613034,32132,,0.279853,0.220965,0.499183,NA,0.636496,31195,,0.275815,0.225182,0.499003,NA,0.64737,30593,,0.30441,0.192733,0.502857,NA,0.58233,34125,,0.29901,0.20171,0.49928,NA,0.594864,32631,,0.291048,0.209214,0.499739,NA,0.610604,32517,,0.275075,0.225667,0.499258,NA,0.644357,31675,,0.290205,0.21447,0.495325,NA,0.625221,32191,,0.31671,0.185955,0.497334,NA,0.563212,33949,,0.293026,0.209784,0.49719,NA,0.610466,31847,,0.286826,0.214008,0.499166,NA,0.6228,32382,,0.301165,0.200766,0.498069,NA,0.600074,32361,,0.301695,0.200233,0.498072,NA,0.595365,33461,,0.28713,0.213567,0.499303,NA,0.626103,32299,,0.299703,0.202864,0.497433,NA,0.601207,33313
14,,0.218666,0.285188,0.496146,NA,0.739853,26337,,0.235674,0.265602,0.498724,NA,0.722332,27432,,0.174254,0.322185,0.503561,NA,0.804066,22186,,0.211264,0.284957,0.50378,NA,0.751197,25267,,0.229872,0.26978,0.500348,NA,0.724187,27263,,0.216887,0.284039,0.499074,NA,0.749229,25926,,0.208415,0.291325,0.50026,NA,0.764454,25027,,0.199925,0.301575,0.4985,NA,0.770955,24004,,0.234476,0.263059,0.502465,NA,0.715894,28199,,0.232282,0.272927,0.494791,NA,0.723588,27260,,0.219469,0.281657,0.498874,NA,0.739588,26195,,0.203221,0.295464,0.501315,NA,0.7689,24338,,0.209759,0.293293,0.496948,NA,0.759048,25391,,0.243186,0.249146,0.507668,NA,0.696026,28690,,0.225048,0.277659,0.497294,NA,0.737665,25679,,0.2148,0.287266,0.497933,NA,0.749597,25405,,0.224586,0.27534,0.500075,NA,0.734531,26796,,0.225658,0.271428,0.502914,NA,0.727143,26939,,0.2145,0.288599,0.496901,NA,0.75763,25655,,0.223319,0.271541,0.50514,NA,0.732934,27042
15,,0.141299,0.359057,0.499644,NA,0.847301,18245,,0.155925,0.342731,0.501344,NA,0.830809,20465,,0.104729,0.390725,0.504546,NA,0.890338,14189,,0.144599,0.361553,0.493847,NA,0.849385,18285,,0.150501,0.350481,0.499018,NA,0.83684,19867,,0.140522,0.356626,0.502852,NA,0.851168,18232,,0.132616,0.373297,0.494087,NA,0.861359,17841,,0.124013,0.376603,0.499383,NA,0.868926,16216,,0.156128,0.334075,0.509797,NA,0.824883,20669,,0.153739,0.344071,0.50219,NA,0.830825,19403,,0.136567,0.360177,0.503255,NA,0.851932,18738,,0.128205,0.377129,0.494665,NA,0.866195,16965,,0.128531,0.374679,0.49679,NA,0.861867,17132,,0.168664,0.330147,0.501189,NA,0.813313,21445,,0.144585,0.350631,0.504784,NA,0.844795,19020,,0.133662,0.362956,0.503382,NA,0.854474,18038,,0.147843,0.350618,0.501539,NA,0.843758,19169,,0.156983,0.340771,0.502246,NA,0.831636,20034,,0.133034,0.372679,0.494288,NA,0.862851,18469,,0.148399,0.352381,0.49922,NA,0.842346,19232
16,,0.0886807,0.411509,0.499811,NA,0.910326,10566,,0.0901585,0.412093,0.497748,NA,0.905755,11990,,0.057273,0.446177,0.49655,NA,0.942451,7246,,0.0783607,0.423394,0.498245,NA,0.92273,10541,,0.0913355,0.413696,0.494968,NA,0.906191,11726,,0.0785136,0.417627,0.503859,NA,0.919009,10495,,0.0706351,0.423077,0.506288,NA,0.92685,9542,,0.0713051,0.432554,0.496141,NA,0.926967,8681,,0.100547,0.39188,0.507573,NA,0.897986,12611,,0.0920465,0.408075,0.499878,NA,0.904704,12309,,0.0778804,0.410306,0.511813,NA,0.919786,10285,,0.0660252,0.433754,0.500221,NA,0.932205,9042,,0.0731082,0.422617,0.504275,NA,0.926785,9356,,0.100985,0.402576,0.496439,NA,0.897841,13200,,0.0776256,0.410502,0.511872,NA,0.917078,10950,,0.0756794,0.415019,0.509302,NA,0.923152,10267,,0.0783451,0.419995,0.50166,NA,0.919411,11143,,0.0873954,0.412851,0.499754,NA,0.912153,12186,,0.066384,0.429221,0.504395,NA,0.931496,9671,,0.0851802,0.409257,0.505563,NA,0.91117,11235
17,,0.0498062,0.447481,0.502713,NA,0.952519,5160,,0.0456395,0.446665,0.507695,NA,0.953388,5653,,0.0303254,0.471893,0.497781,NA,0.96838,2704,,0.038876,0.466934,0.49419,NA,0.962709,4733,,0.044482,0.459459,0.496059,NA,0.955706,5328,,0.0419111,0.458089,0.5,NA,0.956308,4772,,0.0464488,0.44925,0.504301,NA,0.955517,4069,,0.0410719,0.456799,0.502129,NA,0.953293,3993,,0.0574747,0.438207,0.504318,NA,0.944238,6716,,0.047774,0.445719,0.506507,NA,0.951455,5840,,0.0467824,0.458631,0.494586,NA,0.954852,4895,,0.0341639,0.479322,0.486514,NA,0.966478,3893,,0.042011,0.456612,0.501377,NA,0.958563,4356,,0.0471229,0.455988,0.49689,NA,0.952177,6430,,0.041909,0.453178,0.504913,NA,0.95769,4987,,0.0354832,0.469631,0.494886,NA,0.964934,4791,,0.042545,0.460259,0.497196,NA,0.958229,5171,,0.0479853,0.455609,0.496405,NA,0.953519,5981,,0.034954,0.452037,0.513009,NA,0.964652,3805,,0.0488334,0.455417,0.49575,NA,0.950986,5529
18,,0.0241493,0.494512,0.481339,NA,0.973106,1822,,0.0130141,0.487246,0.49974,NA,0.988808,1921,,0.0190058,0.505848,0.475146,NA,0.980263,684,,0.0142349,0.466192,0.519573,NA,0.986121,1405,,0.0281832,0.504781,0.467036,NA,0.977353,1987,,0.0182825,0.480886,0.500831,NA,0.977839,1805,,0.0165239,0.494492,0.488984,NA,0.983782,1634,,0.0251731,0.480806,0.494021,NA,0.972624,1589,,0.0347437,0.461988,0.503268,NA,0.96646,2907,,0.0223066,0.468913,0.50878,NA,0.979355,2107,,0.0255713,0.4679,0.506529,NA,0.976605,1838,,0.0185014,0.479186,0.502313,NA,0.981036,1081,,0.0196906,0.47398,0.506329,NA,0.981013,1422,,0.0206742,0.449888,0.529438,NA,0.97573,2225,,0.0131004,0.487835,0.499064,NA,0.986588,1603,,0.025974,0.479076,0.494949,NA,0.971501,1386,,0.0198511,0.484491,0.495658,NA,0.98294,1612,,0.023335,0.472533,0.504132,NA,0.975207,2057,,0.0233463,0.472374,0.50428,NA,0.974708,1285,,0.0218496,0.484248,0.493902,NA,0.975102,1968
19,,0.00506329,0.491139,0.503797,NA,0.994937,395,,0,0.502058,0.497942,NA,1,243,,0,0.488636,0.511364,NA,1,88,,0,0.508333,0.491667,NA,1,240,,0.00422833,0.4926,0.503171,NA,0.990486,473,,0,0.449782,0.550218,NA,1,229,,0,0.515284,0.484716,NA,1,229,,0.0100604,0.492958,0.496982,NA,0.991952,497,,0.0106486,0.480155,0.509197,NA,0.990803,1033,,0.00913242,0.497717,0.493151,NA,0.988584,438,,0.0302491,0.459075,0.510676,NA,0.968861,562,,0,0.539216,0.460784,NA,1,204,,0.0229885,0.463602,0.51341,NA,0.977011,261,,0.00911162,0.448747,0.542141,NA,0.98861,439,,0.00826446,0.557851,0.433884,NA,0.989669,242,,0.0175439,0.503759,0.478697,NA,0.983709,399,,0.016129,0.471774,0.512097,NA,0.991935,248,,0.0233918,0.469786,0.506823,NA,0.973684,513,,0.013089,0.489529,0.497382,NA,0.989529,382,,0.0231092,0.436975,0.539916,NA,0.971639,476
