Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
20,,0,0.538462,0.461538,NA,1,13,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0.571429,0.428571,NA,1,7,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0.387755,0.612245,NA,1,49,,0,0.485294,0.514706,NA,1,68,,0,0.615385,0.384615,NA,1,13,,0,0.449664,0.550336,NA,1,149,,NAN,NAN,NAN,NA,NAN,0,,0,0.488372,0.511628,NA,1,43,,0,0.538462,0.461538,NA,1,26,,0,0.392857,0.607143,NA,1,28,,0,0.3125,0.6875,NA,1,16,,0,0.321429,0.678571,NA,1,28,,0,0.519084,0.480916,NA,1,131,,0,0.466667,0.533333,NA,1,45,,0.00568182,0.528409,0.465909,NA,0.991477,176
21,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0.666667,0.333333,NA,1,9
22,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0
23,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
24,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
25,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
26,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
27,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
28,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
29,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
30,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
