Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
10,,0.500658,NA,0.249501,0.249842,0.693533,20521,,0.507594,NA,0.22067,0.271736,0.720458,18897,,0.504778,NA,0.229679,0.265543,0.716821,18626,,0.498208,NA,0.231592,0.270199,0.712718,19815,,0.498253,NA,0.243836,0.257911,0.700648,19751,,0.501812,NA,0.221946,0.276242,0.720188,18491,,0.502854,NA,0.225568,0.271578,0.720443,17170,,0.496867,NA,0.245301,0.257832,0.692377,21068,,0.494858,NA,0.218912,0.28623,0.730724,17989,,0.503219,NA,0.23203,0.264751,0.718223,18795,,0.49545,NA,0.224946,0.279605,0.72877,17911,,0.500938,NA,0.22614,0.272922,0.716843,18661,,0.499948,NA,0.240876,0.259176,0.701147,19180,,0.493475,NA,0.237639,0.268886,0.71019,19618,,0.505532,NA,0.228891,0.265578,0.713495,19162,,0.496982,NA,0.243652,0.259366,0.696488,20874,,0.504848,NA,0.230474,0.264678,0.708471,18770,,0.505636,NA,0.22684,0.267524,0.713748,19516,,0.498866,NA,0.238306,0.262828,0.706165,18963,,0.503729,NA,0.257355,0.238916,0.67716,21585
11,,0.502165,NA,0.173381,0.324454,0.794851,10624,,0.506885,NA,0.152054,0.34106,0.815297,8714,,0.499827,NA,0.158344,0.341829,0.805789,8671,,0.509123,NA,0.148026,0.342851,0.810999,9701,,0.498174,NA,0.1597,0.342127,0.811384,9856,,0.498518,NA,0.152779,0.348702,0.814448,8437,,0.504206,NA,0.152562,0.343232,0.810413,7846,,0.495856,NA,0.176562,0.327581,0.787755,10257,,0.502967,NA,0.157935,0.339099,0.803686,7921,,0.503734,NA,0.14792,0.348347,0.82399,8437,,0.508947,NA,0.141449,0.349604,0.831102,8215,,0.49713,NA,0.166218,0.336652,0.802155,8537,,0.496146,NA,0.160176,0.343678,0.803133,9989,,0.504666,NA,0.158747,0.336587,0.79985,9323,,0.498559,NA,0.165917,0.335524,0.800473,8673,,0.502818,NA,0.172907,0.324275,0.790358,9936,,0.49922,NA,0.172533,0.328247,0.793105,8978,,0.495286,NA,0.151414,0.3533,0.813699,9015,,0.505242,NA,0.161097,0.333661,0.797128,9156,,0.498122,NA,0.174221,0.327657,0.792595,11451
12,,0.502795,NA,0.118648,0.378557,0.848196,3936,,0.505955,NA,0.110069,0.383977,0.856911,2771,,0.503434,NA,0.112294,0.384272,0.847012,2912,,0.49704,NA,0.079464,0.423496,0.901683,3209,,0.479705,NA,0.115621,0.404674,0.870541,3252,,0.486541,NA,0.102451,0.411008,0.870229,2489,,0.50916,NA,0.127481,0.363359,0.843702,2620,,0.505119,NA,0.0948318,0.400049,0.87567,4102,,0.499843,NA,0.109507,0.39065,0.862253,3187,,0.513336,NA,0.0660648,0.420599,0.910546,2437,,0.511628,NA,0.0908293,0.397543,0.887451,2279,,0.492162,NA,0.101745,0.406093,0.880657,3381,,0.503432,NA,0.135482,0.361086,0.846464,3351,,0.489759,NA,0.117169,0.393072,0.856024,3320,,0.497049,NA,0.134203,0.368748,0.8411,3219,,0.49897,NA,0.127188,0.373841,0.837667,3884,,0.498105,NA,0.146724,0.355171,0.830265,3694,,0.496116,NA,0.0911854,0.412698,0.89024,2961,,0.485905,NA,0.124886,0.389209,0.848136,3299,,0.49976,NA,0.111751,0.388489,0.866667,4170
13,,0.510397,NA,0.132325,0.357278,0.82845,1058,,0.477961,NA,0.0853994,0.436639,0.897383,726,,0.487047,NA,0.13886,0.374093,0.841969,965,,0.485327,NA,0.027088,0.487585,0.953725,443,,0.493261,NA,0.0390836,0.467655,0.938005,742,,0.468591,NA,0.0713073,0.460102,0.89219,589,,0.520382,NA,0.0685169,0.411101,0.904597,1153,,0.496411,NA,0.0909091,0.412679,0.879187,836,,0.513514,NA,0.0921376,0.394349,0.876536,814,,0.501684,NA,0.0841751,0.414141,0.888889,297,,0.509843,NA,0.0590551,0.431102,0.918307,508,,0.495652,NA,0.0782609,0.426087,0.910435,575,,0.501385,NA,0.0627886,0.435826,0.918744,1083,,0.498455,NA,0.0782698,0.423275,0.903708,971,,0.487402,NA,0.0842745,0.428323,0.910078,1151,,0.509512,NA,0.0760959,0.414392,0.901158,1209,,0.504714,NA,0.0587382,0.436548,0.917331,1379,,0.502128,NA,0.0680851,0.429787,0.924468,470,,0.470745,NA,0.0797872,0.449468,0.905142,1128,,0.481409,NA,0.101761,0.41683,0.874266,1022
14,,0.492,NA,0.08,0.428,0.894,500,,0.526718,NA,0.0458015,0.427481,0.931298,131,,0.488722,NA,0.0526316,0.458647,0.917293,399,,0.4375,NA,0,0.5625,0.984375,32,,0.622642,NA,0.0754717,0.301887,0.896226,53,,0.449153,NA,0.0338983,0.516949,0.927966,118,,0.51497,NA,0.0179641,0.467066,0.964072,167,,0.532967,NA,0.0879121,0.379121,0.870879,182,,0.476744,NA,0,0.523256,0.991279,172,,0.433962,NA,0.0377358,0.528302,0.858491,53,,0.53125,NA,0,0.46875,0.984375,64,,0.580247,NA,0,0.419753,0.981481,81,,0.512195,NA,0.0121951,0.47561,0.957317,82,,0.47,NA,0,0.53,0.995,100,,0.506329,NA,0.00632911,0.487342,0.981013,158,,0.568528,NA,0.106599,0.324873,0.880711,197,,0.479339,NA,0.0743802,0.446281,0.929752,121,,0.5,NA,0.0227273,0.477273,0.977273,44,,0.529801,NA,0.0993377,0.370861,0.860927,151,,0.541667,NA,0.147436,0.310897,0.826923,312
15,,0.458333,NA,0.0520833,0.489583,0.901042,96,,0.461538,NA,0,0.538462,0.961538,26,,0.875,NA,0.0625,0.0625,0.71875,16,,NAN,NA,NAN,NAN,NAN,0,,0.615385,NA,0,0.384615,1,13,,0.333333,NA,0,0.666667,0.981481,27,,NAN,NA,NAN,NAN,NAN,0,,0.578947,NA,0,0.421053,0.973684,38,,NAN,NA,NAN,NAN,NAN,0,,0.333333,NA,0,0.666667,1,21,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,0.520833,NA,0.0833333,0.395833,0.895833,48,,0.692308,NA,0,0.307692,1,13,,NAN,NA,NAN,NAN,NAN,0,,0.538462,NA,0,0.461538,0.980769,52,,0.536,NA,0.144,0.32,0.808,125
16,,0.521739,NA,0,0.478261,0.978261,23,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,,,,,,,,NAN,NA,NAN,NAN,NAN,0,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.5,NA,0,0.5,1,14,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,NAN,NA,NAN,NAN,NAN,0,,0.693878,NA,0.22449,0.0816327,0.489796,49
17,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NA,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.393939,NA,0.252525,0.353535,0.787879,99
18,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.418182,NA,0,0.581818,0.990909,55
19,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NA,NAN,NAN,NAN,0
