Generation,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size,,% Fertile Male,% Sterile Male,% Fertile Female,% Sterile Female,Rate Drive,Population Size
10,,0.241144,0.257031,0.244365,0.25746,0.699093,18632,,0.252768,0.2439,0.25387,0.249461,0.682925,19959,,0.275768,0.224009,0.273401,0.226822,0.650991,22392,,0.264656,0.238628,0.268557,0.228159,0.662733,21016,,0.248776,0.255821,0.244329,0.251074,0.69289,20014,,0.270112,0.232053,0.269165,0.228671,0.659497,22176,,0.251182,0.243539,0.2626,0.242679,0.679836,20933,,0.251331,0.250012,0.252015,0.246641,0.685689,20467,,0.24132,0.252177,0.236375,0.270128,0.705552,18606,,0.247022,0.248438,0.254442,0.250098,0.688391,20484,,0.247503,0.25637,0.239706,0.256421,0.694507,19624,,0.280341,0.220032,0.278146,0.221481,0.644011,22783,,0.262598,0.232583,0.272466,0.232354,0.661794,21889,,0.27437,0.232543,0.263416,0.229672,0.661124,22641,,0.255584,0.240874,0.257011,0.246532,0.676252,20326,,0.271842,0.228224,0.26845,0.231485,0.657469,22995,,0.252163,0.25416,0.243306,0.250371,0.689724,19531,,0.270724,0.231584,0.269729,0.227964,0.658009,22100,,0.252561,0.246737,0.256045,0.244657,0.68374,19231,,0.263965,0.235894,0.263071,0.23707,0.667764,21268
11,,0.175524,0.327563,0.168688,0.328225,0.791345,9070,,0.168609,0.329448,0.168901,0.333042,0.793124,10296,,0.195609,0.298902,0.197772,0.307717,0.757833,12479,,0.203883,0.29651,0.198636,0.300971,0.75234,11433,,0.17617,0.314223,0.182122,0.327485,0.780754,9576,,0.183079,0.310442,0.191828,0.314651,0.771069,12115,,0.18012,0.322696,0.179932,0.317252,0.782476,10654,,0.174664,0.325637,0.169745,0.329954,0.787292,9962,,0.168876,0.332247,0.166404,0.332472,0.796124,8900,,0.174111,0.324111,0.178755,0.323024,0.7833,10120,,0.182854,0.315617,0.181694,0.319835,0.776178,9483,,0.2,0.304088,0.203861,0.292051,0.7514,13210,,0.194264,0.31043,0.189997,0.305309,0.762931,11716,,0.185379,0.312595,0.185717,0.316309,0.775325,11846,,0.175885,0.320243,0.189897,0.313975,0.776226,10848,,0.191047,0.308529,0.205997,0.294427,0.756583,11772,,0.182184,0.319615,0.177634,0.320567,0.780893,9452,,0.184052,0.308793,0.189677,0.317479,0.76917,12089,,0.172967,0.328214,0.177594,0.321225,0.787655,10158,,0.188286,0.313988,0.184987,0.31274,0.771953,11217
12,,0.116875,0.382057,0.113824,0.387244,0.858712,3277,,0.135937,0.368453,0.129882,0.365728,0.839237,3303,,0.130322,0.371259,0.123629,0.374791,0.841513,5379,,0.126975,0.354593,0.145309,0.373123,0.84016,5127,,0.132034,0.355664,0.144945,0.367357,0.834227,4105,,0.128298,0.364149,0.13416,0.373393,0.842616,4435,,0.130804,0.372247,0.119395,0.377554,0.852083,3769,,0.135004,0.365708,0.131302,0.367986,0.844916,3511,,0.0981888,0.38926,0.121068,0.391484,0.86082,3147,,0.122466,0.377399,0.123277,0.376859,0.847391,3699,,0.150078,0.344971,0.145388,0.359562,0.816832,3838,,0.166302,0.343739,0.153341,0.336619,0.805312,5478,,0.146692,0.33583,0.159384,0.358094,0.811902,4806,,0.126661,0.374485,0.132387,0.366468,0.838525,4366,,0.142216,0.360028,0.132058,0.365698,0.831207,4233,,0.128874,0.376631,0.129894,0.3646,0.83595,4904,,0.124174,0.381608,0.115914,0.378304,0.852698,3632,,0.138564,0.359337,0.143425,0.358674,0.825193,4525,,0.132812,0.36901,0.130729,0.367448,0.842708,3840,,0.145429,0.352262,0.151662,0.350646,0.822253,4332
13,,0.104054,0.424324,0.0716216,0.4,0.89527,740,,0.0806142,0.457774,0.0585413,0.403071,0.90499,1042,,0.126246,0.370432,0.129568,0.373754,0.83804,1204,,0.089172,0.414013,0.105732,0.391083,0.88535,1570,,0.122888,0.396313,0.119816,0.360983,0.853687,1302,,0.112916,0.399072,0.099768,0.388244,0.872003,1293,,0.0671206,0.417315,0.0603113,0.455253,0.916342,1028,,0.0868373,0.43053,0.0758684,0.406764,0.894881,1094,,0.0763547,0.428571,0.0849754,0.410099,0.905172,812,,0.0984456,0.40829,0.0849741,0.40829,0.89171,965,,0.158858,0.333089,0.14202,0.366032,0.811127,1366,,0.0824545,0.409875,0.0896453,0.418025,0.89094,2086,,0.0927614,0.416086,0.0809651,0.410188,0.890617,1865,,0.0746489,0.430894,0.0798226,0.414634,0.894678,1353,,0.105229,0.400904,0.109103,0.384764,0.865074,1549,,0.118092,0.361847,0.132475,0.387585,0.855413,1321,,0.075388,0.407982,0.0809313,0.435698,0.902993,902,,0.126926,0.377109,0.116654,0.37931,0.848863,1363,,0.0751494,0.431255,0.0717336,0.421862,0.907344,1171,,0.0877863,0.433842,0.0680662,0.410305,0.892812,1572
14,,0.0142857,0.485714,0.0142857,0.485714,0.971429,70,,0.189873,0.278481,0.202532,0.329114,0.791139,79,,0.0864486,0.429907,0.088785,0.39486,0.886682,428,,0.0820513,0.384615,0.0794872,0.453846,0.898718,390,,0.0864198,0.432099,0.0802469,0.401235,0.888889,324,,0.012,0.484,0.004,0.5,0.962,250,,0.204545,0.181818,0.340909,0.272727,0.715909,44,,0.0458716,0.440367,0.0458716,0.46789,0.912844,109,,0.0128205,0.480769,0.00641026,0.5,0.974359,156,,0.0118343,0.443787,0.00591716,0.538462,0.985207,169,,0.0973451,0.364602,0.125664,0.412389,0.857522,565,,0.0613718,0.440433,0.0577617,0.440433,0.916968,277,,0.0698413,0.415873,0.0571429,0.457143,0.912698,315,,0.168067,0.327731,0.210084,0.294118,0.789916,119,,0.114815,0.344444,0.159259,0.381481,0.807407,270,,0.112412,0.405152,0.0819672,0.400468,0.866511,427,,0.00684932,0.520548,0.0136986,0.458904,0.965753,146,,0.0982143,0.397321,0.102679,0.401786,0.872768,448,,0.0571429,0.445714,0.0971429,0.4,0.902857,175,,0.0540541,0.382883,0.0585586,0.504505,0.918919,222
15,,NAN,NAN,NAN,NAN,NAN,0,,0.00934579,0.504673,0,0.485981,0.990654,107,,0.0853659,0.365854,0.109756,0.439024,0.884146,82,,0.03125,0.625,0,0.34375,0.984375,32,,0.0447761,0.432836,0.0597015,0.462687,0.947761,67,,NAN,NAN,NAN,NAN,NAN,0,,0,0.538462,0.00961538,0.451923,0.980769,104,,NAN,NAN,NAN,NAN,NAN,0,,NAN,NAN,NAN,NAN,NAN,0,,NAN,NAN,NAN,NAN,NAN,0,,0.0929204,0.424779,0.0663717,0.415929,0.873894,226,,0.285714,0,0.714286,0,0.5,14,,0,0.357143,0.047619,0.595238,0.97619,42,,0.011236,0.47191,0,0.516854,0.988764,89,,0.263158,0.221053,0.231579,0.284211,0.7,95,,0.0142857,0.542857,0,0.442857,0.985714,70,,NAN,NAN,NAN,NAN,NAN,0,,0.238095,0.22619,0.178571,0.357143,0.72619,84,,0,0.583333,0,0.416667,0.958333,12,,0.151515,0.151515,0.272727,0.424242,0.666667,33
16,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0.47619,0.047619,0.47619,0.97619,21,,NAN,NAN,NAN,NAN,NAN,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.421053,0.157895,0.210526,0.210526,0.657895,19,,0.00793651,0.404762,0,0.587302,0.984127,126,,NAN,NAN,NAN,NAN,NAN,0,,NAN,NAN,NAN,NAN,NAN,0,,0.112782,0.338346,0.0902256,0.458647,0.890977,133,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0.21875,0.21875,0.260417,0.302083,0.703125,96,,NAN,NAN,NAN,NAN,NAN,0,,0,0.4375,0.0208333,0.541667,0.96875,48
17,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.0434783,0.456522,0,0.5,0.978261,46,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0.714286,0,0.285714,0.928571,7,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.116279,0.302326,0.197674,0.383721,0.744186,86,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0
18,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NAN,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.485714,0.142857,0.257143,0.114286,0.614286,35,,0,0,0,0,1,0,,0,0,0,0,1,0
19,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0.0105263,0.557895,0.0105263,0.421053,0.984211,95,,0,0,0,0,1,0,,0,0,0,0,1,0
