Generation,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size,,% Wt Male,% Drive Male,% Wt Female,% Drive Female,Rate Drive,Population Size
10,,0.0790734,0.835989,0.0849379,NA,0.913587,10231,,0.0824348,0.829739,0.0878259,NA,0.909628,10202,,0.080372,0.825129,0.0944986,NA,0.91124,11397,,0.0657646,0.849866,0.0843697,NA,0.928176,10051,,0.0750145,0.840279,0.0847063,NA,0.918043,10318,,0.0858133,0.821343,0.0928441,NA,0.905404,10383,,0.0823887,0.82785,0.0897613,NA,0.909487,10851,,0.0801909,0.832787,0.0870216,NA,0.912166,10687,,0.0691467,0.848825,0.082028,NA,0.924674,9704,,0.0874378,0.818517,0.094045,NA,0.903486,11654,,0.0751696,0.839059,0.0857718,NA,0.917778,9432,,0.077754,0.840428,0.0818182,NA,0.915317,9350,,0.0784402,0.832263,0.089297,NA,0.913868,11053,,0.0734735,0.843243,0.0832833,NA,0.919851,9990,,0.0780162,0.836073,0.0859107,NA,0.914651,10767,,0.0909249,0.815282,0.0937935,NA,0.899664,11504,,0.0619083,0.869332,0.0687593,NA,0.933521,8028,,0.074362,0.842504,0.083134,NA,0.918895,10032,,0.0900754,0.813336,0.096589,NA,0.900294,11668,,0.0606885,0.865728,0.0735833,NA,0.934491,8453
11,,0.0580237,0.871122,0.0708541,NA,0.937552,5222,,0.0456386,0.90265,0.0517114,NA,0.951873,5434,,0.0385396,0.913286,0.0481744,NA,0.95951,5916,,0.0366258,0.918761,0.0446133,NA,0.961664,5133,,0.0305828,0.921716,0.0477015,NA,0.967885,5199,,0.0519824,0.885463,0.0625551,NA,0.944549,5675,,0.0588341,0.875135,0.0660309,NA,0.937006,5558,,0.0372819,0.910009,0.0527089,NA,0.960644,5445,,0.045417,0.901321,0.0532618,NA,0.952028,4844,,0.0462332,0.895061,0.0587061,NA,0.950883,6013,,0.0384461,0.909892,0.051662,NA,0.959459,4994,,0.0496633,0.890783,0.0595539,NA,0.947192,4752,,0.0433925,0.906939,0.0496683,NA,0.95434,5577,,0.0404566,0.910074,0.0494693,NA,0.957438,4993,,0.0456871,0.904605,0.0497076,NA,0.951923,5472,,0.0460559,0.894155,0.059789,NA,0.951015,5971,,0.0454672,0.904881,0.0496513,NA,0.952157,3585,,0.0361566,0.914702,0.049141,NA,0.961975,5006,,0.0496815,0.898567,0.0517516,NA,0.947607,6280,,0.036346,0.926096,0.0375575,NA,0.962236,4127
12,,0.0329897,0.921993,0.0450172,NA,0.965455,2910,,0.0310005,0.932363,0.0366369,NA,0.967821,2129,,0.0281892,0.940755,0.0310559,NA,0.970907,2093,,0.0259039,0.947113,0.0269833,NA,0.973378,1853,,0.0174564,0.958105,0.0244389,NA,0.982106,2005,,0.039752,0.912837,0.0474106,NA,0.95827,2742,,0.0357515,0.923638,0.0406109,NA,0.962735,2881,,0.0157092,0.948384,0.0359066,NA,0.983706,2228,,0.0231884,0.947826,0.0289855,NA,0.976119,2070,,0.0235205,0.946889,0.0295903,NA,0.975762,2636,,0.0204978,0.951684,0.0278184,NA,0.978916,2049,,0.0307498,0.934288,0.0349621,NA,0.968136,2374,,0.0294253,0.929655,0.0409195,NA,0.969319,2175,,0.00796416,0.975112,0.0169238,NA,0.991899,2009,,0.0316426,0.928339,0.0400186,NA,0.967038,2149,,0.0259594,0.934537,0.0395034,NA,0.972973,2658,,0.025,0.940385,0.0346154,NA,0.974104,1560,,0.011041,0.960568,0.0283912,NA,0.988636,1902,,0.0384941,0.903553,0.0579526,NA,0.959138,2364,,0.0237924,0.946647,0.0295602,NA,0.975483,1387
13,,0.00990099,0.95462,0.0354785,NA,0.989735,1212,,0.0141026,0.955128,0.0307692,NA,0.98545,780,,0.0140845,0.951487,0.0344288,NA,0.985413,639,,0,0.99177,0.00823045,NA,1,486,,0,0.994059,0.00594059,NA,1,505,,0.0238291,0.944125,0.032046,NA,0.975382,1217,,0.025641,0.943787,0.030572,NA,0.97355,1014,,0,0.985714,0.0142857,NA,1,770,,0.0191304,0.93913,0.0417391,NA,0.980036,575,,0.0132802,0.962815,0.0239044,NA,0.986395,753,,0.0259965,0.934142,0.0398614,NA,0.972924,577,,0.00615006,0.98032,0.0135301,NA,0.993766,813,,0.0108932,0.969499,0.0196078,NA,0.988889,918,,0.0255682,0.934659,0.0397727,NA,0.973373,352,,0.0270588,0.927059,0.0458824,NA,0.97164,850,,0.0167189,0.954023,0.0292581,NA,0.982777,957,,0,0.988971,0.0110294,NA,1,544,,0,0.981308,0.0186916,NA,1,535,,0,0.991111,0.00888889,NA,1,1350,,0,0.993151,0.00684932,NA,1,438
14,,0.0109409,0.964989,0.02407,NA,0.988789,457,,0,0.989831,0.0101695,NA,1,295,,0.0290456,0.921162,0.0497925,NA,0.969432,241,,0,0.963636,0.0363636,NA,1,55,,0,0.972222,0.0277778,NA,1,36,,0.0157658,0.957207,0.027027,NA,0.983796,444,,0,0.978979,0.021021,NA,1,333,,0,1,0,NA,1,120,,0.0246479,0.943662,0.0316901,NA,0.974545,284,,0,0.995238,0.0047619,NA,1,210,,0.0313725,0.933333,0.0352941,NA,0.96748,255,,0,1,0,NA,1,122,,0.0288462,0.923077,0.0480769,NA,0.969697,208,,0,0.980392,0.0196078,NA,1,153,,0.0216867,0.951807,0.026506,NA,0.977723,415,,0,0.990099,0.00990099,NA,1,303,,0,0.983871,0.016129,NA,1,62,,0,0.990741,0.00925926,NA,1,108,,0,0.992647,0.00735294,NA,1,136,,0,1,0,NA,1,31
15,,0,0.991736,0.00826446,NA,1,121,,0,0.962963,0.037037,NA,1,27,,0.0214286,0.942857,0.0357143,NA,0.977778,140,,0,1,0,NA,1,24,,0,1,0,NA,1,7,,0,0.992126,0.00787402,NA,1,127,,0,0.977011,0.0229885,NA,1,87,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,101,,0,0.928571,0.0714286,NA,1,14,,0.00943396,0.915094,0.0754717,NA,0.989796,106,,NAN,NAN,NAN,NA,NAN,0,,0,0.991525,0.00847458,NA,1,118,,0,1,0,NA,1,36,,0.0465116,0.922481,0.0310078,NA,0.952,129,,0,1,0,NA,1,36,,0,1,0,NA,1,13,,0,1,0,NA,1,16,,0,0.923077,0.0769231,NA,1,13,,NAN,NAN,NAN,NA,NAN,0
16,,0,1,0,NA,1,12,,0,0.928571,0.0714286,NA,1,14,,0,0.96875,0.03125,NA,1,64,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,13,,0,1,0,NA,1,27,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,13,,0,0.990476,0.00952381,NA,1,105,,0,0,0,0,1,0,,0,1,0,NA,1,10,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,42,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,11,,0,0,0,0,1,0
17,,NAN,NAN,NAN,NA,NAN,0,,0,1,0,NA,1,13,,0,1,0,NA,1,18,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,0.866667,0.133333,NA,1,15,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0
18,,0,0,0,0,1,0,,NAN,NAN,NAN,NA,NAN,0,,NAN,NAN,NAN,NA,NAN,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0.958333,0.0416667,NA,1,24,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
19,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,1,0,NA,1,5,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0,,0,0,0,0,1,0
