"","Low-Density Growth Rate","Migration Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"33",2,0.0125,1,101,1,62,0.482962091,0.083587059,0.462522939,0.092175112,447.9090909,82825.23416,37,0,10000,0,10000,0,10000,0,10000,0,0
"34",2,0.0125,0,10000,1,56,0.083083829,0.005522187,0.069913905,0.004010823,10416.19481,27222193.77,81,1,137,0,10000,0,10000,0,10000,1,0
"35",2,0.0125,0,10000,1,57,0.101377,0.000381036,0.09063068,0.000155957,4125.4,1226421.84,14,1,71,0,10000,0,10000,0,10000,1,0
"36",2,0.0125,0,10000,1,64,0.203023442,0.010618794,0.16613445,0.007951616,1856.833333,123700.3056,28,1,92,0,10000,0,10000,0,10000,1,0
"37",2,0.0125,0,10000,1,58,0.025262136,0.000254461,0.022721384,0.000201646,20954.60938,73328330.35,132,1,190,0,10000,0,10000,0,10000,1,0
"38",2,0.0125,0,10000,1,55,0.150270706,0.06801521,0.131240258,0.058628481,16942.26126,132536184.6,115,1,170,0,10000,0,10000,0,10000,1,0
"39",2,0.0125,0,10000,1,60,0.048372038,0.000811416,0.042806808,0.000665908,13027.38384,26462355.59,103,1,163,0,10000,0,10000,0,10000,1,0
"40",2,0.0125,0,10000,1,57,0.333952368,0.013109093,0.293877632,0.010155769,701.2631579,190531.1413,23,1,80,0,10000,0,10000,0,10000,1,0
"41",2,0.015,0,10000,1,45,0.020078003,0.000121339,0.01778418,9.78e-05,22531.21978,39605714.74,95,1,140,0,10000,0,10000,0,10000,1,0
"42",2,0.015,0,10000,1,44,0.114594697,0.001583728,0.095174576,0.001035238,3039.447368,1170147.931,42,1,86,0,10000,0,10000,0,10000,1,0
"43",2,0.015,0,10000,1,49,0.061805048,0.00228142,0.051768689,0.001618548,11909.33,49450769.86,104,1,153,0,10000,0,10000,0,10000,1,0
"44",2,0.015,0,10000,1,48,0.133922733,0.001613065,0.119827983,0.001034173,2413.833333,2903190.583,22,1,70,0,10000,0,10000,0,10000,1,0
"45",2,0.015,0,10000,1,46,0.128810235,0.000406151,0.110374387,0.000223976,2532.043478,1338525.259,27,1,73,0,10000,0,10000,0,10000,1,0
"46",2,0.015,0,10000,1,47,0.127046819,0.027404768,0.101895103,0.018516924,12493.50667,71769318.68,79,1,126,0,10000,0,10000,0,10000,1,0
"47",2,0.015,1,61,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"48",2,0.015,0,10000,1,51,0.122859114,0.000519542,0.117804357,0.000334656,3738,834635.4286,11,1,62,0,10000,0,10000,0,10000,1,0
"49",2,0.015,0,10000,1,55,0.083434448,0.000113323,0.070022541,6.93e-05,5754.068966,1150855.512,33,1,88,0,10000,0,10000,0,10000,1,0
"50",2,0.015,0,10000,1,48,0.067301146,0.002198917,0.056996308,0.001581656,10622.31579,41987652.76,99,1,147,0,10000,0,10000,0,10000,1,0
"51",2,0.015,0,10000,1,46,0.085288107,0.015821451,0.071813651,0.013593686,15274.75,88698844.19,76,1,122,0,10000,0,10000,0,10000,1,0
"52",2,0.015,0,10000,1,48,0.2301942,0.001869128,0.1808416,0.002077275,1348,15638,9,1,57,0,10000,0,10000,0,10000,1,0
"53",2,0.015,1,145,1,50,0.093710635,0.016663302,0.07810276,0.012132258,16669.19101,141807495.6,93,0,10000,0,10000,0,10000,0,10000,0,0
"54",2,0.015,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,58,0,10000,0,10000,0,10000,0,1
"55",2,0.015,0,10000,1,50,0.225618371,0.014750836,0.196825083,0.010671061,2828.25,4451641.021,28,1,78,0,10000,0,10000,0,10000,1,0
"56",2,0.015,0,10000,1,46,0.075489109,0.003240774,0.070604471,0.002757072,10460.71429,65174065.92,53,1,99,0,10000,0,10000,0,10000,1,0
"57",2,0.015,1,84,1,56,0.256371,0.037540076,0.213352909,0.027863356,1682,874514.2727,26,0,10000,0,10000,0,10000,0,10000,0,0
"58",2,0.015,1,60,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"59",2,0.015,0,10000,1,47,0.054934708,0.000385248,0.050955069,0.000249069,8937.461538,10878616.09,17,1,64,0,10000,0,10000,0,10000,1,0
"60",2,0.015,1,121,1,50,0.204287855,0.066069778,0.168796208,0.051677078,6851.323077,17655600.56,69,0,10000,0,10000,0,10000,0,10000,0,0
"61",2,0.0175,0,10000,1,40,0.094414129,0.010039552,0.074695807,0.004824389,10378.59524,60773113.34,46,1,86,0,10000,0,10000,0,10000,1,0
"62",2,0.0175,0,10000,1,49,0.380338372,0.023119591,0.362974186,0.022295979,238.1395349,21469.37588,47,1,96,0,10000,0,10000,0,10000,1,0
"63",2,0.0175,0,10000,1,40,0.2729399,0.023735943,0.221861242,0.01540216,885.8947368,412401.7784,23,1,63,0,10000,0,10000,0,10000,1,0
"64",2,0.0175,1,62,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
"65",2,0.0175,0,10000,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,1,50,0,10000,0,10000,0,10000,0,1
"66",2,0.0175,1,97,1,43,0.206435888,0.019521916,0.173380306,0.017762742,3414.020408,6626242.551,53,0,10000,0,10000,0,10000,0,10000,0,0
"67",2,0.0175,0,10000,1,42,0.486437923,0.052031693,0.453744615,0.068185793,109.0769231,11906.99408,17,1,59,0,10000,0,10000,0,10000,1,0
"68",2,0.0175,0,10000,1,45,0.078844221,0.003184701,0.063653777,0.001949984,9986.278146,39430682.06,155,1,200,0,10000,0,10000,0,10000,1,0
"69",2,0.0175,0,10000,1,47,0.118716744,0.002487127,0.100347502,0.002086794,4366.375,3678271.109,68,1,115,0,10000,0,10000,0,10000,1,0
"70",2,0.0175,0,10000,1,40,0.046476796,0.000483099,0.0376023,0.000318141,11368.35526,18855168.36,80,1,120,0,10000,0,10000,0,10000,1,0
