"","Fitness","Drive Efficiency","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase"
"30",0.8,0.81,0,10000,1,21,0.00098735,7.14e-08,0.000398981,1.23e-08,19523.93333,771207.6499,979,0,10000,0,10000,1,0.618457,0,10000,0,0
"31",0.8,0.81,0,10000,1,22,0.000982133,8.03e-08,0.000397387,1.43e-08,19497.58419,718019.7214,978,0,10000,0,10000,1,0.598806,0,10000,0,0
"32",0.8,0.81,0,10000,1,21,0.000962658,8.05e-08,0.000382679,1.28e-08,19633.05026,747304.5421,979,0,10000,0,10000,1,0.645491,0,10000,0,0
"33",0.8,0.81,0,10000,1,21,0.001015544,9.65e-08,0.000403875,1.65e-08,19632.53949,730258.3141,979,0,10000,0,10000,1,0.640647,0,10000,0,0
"34",0.8,0.81,0,10000,1,23,0.000963962,7.57e-08,0.000384696,1.25e-08,19441.13361,673500.9236,977,0,10000,0,10000,1,0.608559,0,10000,0,0
"35",0.8,0.81,0,10000,1,23,0.0009755,7.09e-08,0.000391171,1.25e-08,19497.50874,825130.5644,977,0,10000,0,10000,1,0.633828,0,10000,0,0
"36",0.8,0.81,0,10000,1,21,0.000971723,7.31e-08,0.000388233,1.24e-08,19628.41949,657772.5799,979,0,10000,0,10000,1,0.612817,0,10000,0,0
"37",0.8,0.81,0,10000,1,21,0.000975043,6.84e-08,0.000388162,1.17e-08,19566.34564,825553.4262,979,0,10000,0,10000,1,0.631452,0,10000,0,0
"38",0.8,0.81,0,10000,1,23,0.000998473,7.51e-08,0.00040292,1.38e-08,19534.12025,684343.5734,977,0,10000,0,10000,1,0.623126,0,10000,0,0
"39",0.8,0.81,0,10000,1,21,0.000971853,8.22e-08,0.000388293,1.4e-08,19577.62667,670115.9858,979,0,10000,0,10000,1,0.624329,0,10000,0,0
"40",0.8,0.81,0,10000,1,22,0.000967213,7.57e-08,0.000387537,1.35e-08,19542.84394,665760.2446,978,0,10000,0,10000,1,0.620509,0,10000,0,0
"41",0.8,0.82,0,10000,1,22,0.001149735,9.52e-08,0.00046541,1.83e-08,18335.02567,717146.5938,978,0,10000,0,10000,1,0.636513,0,10000,0,0
"42",0.8,0.82,0,10000,1,22,0.001148132,1.15e-07,0.00046701,2.08e-08,18530.23203,948861.0119,978,0,10000,0,10000,1,0.639414,0,10000,0,0
"43",0.8,0.82,0,10000,1,21,0.001165108,1.13e-07,0.000473683,2.04e-08,18406.54667,778360.3053,979,0,10000,0,10000,1,0.633578,0,10000,0,0
"44",0.8,0.82,0,10000,1,33,0.001163713,1.03e-07,0.000472207,1.92e-08,18303.05504,604680.6501,967,0,10000,0,10000,1,0.647128,0,10000,0,0
"45",0.8,0.82,0,10000,1,21,0.001185003,1.01e-07,0.000480166,1.9e-08,18503.31179,761169.3243,979,0,10000,0,10000,1,0.637707,0,10000,0,0
"46",0.8,0.82,0,10000,1,21,0.001143615,1.07e-07,0.000468858,1.96e-08,18439.35487,821445.2464,979,0,10000,0,10000,1,0.622523,0,10000,0,0
"47",0.8,0.82,0,10000,1,21,0.001187846,1.23e-07,0.000480967,2.12e-08,18339.4441,842646.9402,979,0,10000,0,10000,1,0.671888,0,10000,0,0
"48",0.8,0.82,0,10000,1,22,0.001166063,1.2e-07,0.000472075,2.06e-08,18446.80903,661251.3824,978,0,10000,0,10000,1,0.642817,0,10000,0,0
"49",0.8,0.82,0,10000,1,22,0.001161004,1.03e-07,0.00046771,1.69e-08,18358.70739,740095.4678,978,0,10000,0,10000,1,0.644035,0,10000,0,0
"50",0.8,0.82,0,10000,1,21,0.001157687,1.16e-07,0.000471776,2.06e-08,18406.76,893407.2265,979,0,10000,0,10000,1,0.660923,0,10000,0,0
"51",0.8,0.82,0,10000,1,21,0.001207163,1.32e-07,0.000489297,2.24e-08,18469.02256,844823.8621,979,0,10000,0,10000,1,0.628016,0,10000,0,0
"52",0.8,0.82,0,10000,1,21,0.001199467,1.29e-07,0.00048475,2.14e-08,18383.11692,710157.3976,979,0,10000,0,10000,1,0.65321,0,10000,0,0
"53",0.8,0.82,0,10000,1,22,0.001099153,1.04e-07,0.000445128,1.78e-08,18602.02053,590629.9626,978,0,10000,0,10000,1,0.654967,0,10000,0,0
"54",0.8,0.82,0,10000,1,22,0.001150745,1.06e-07,0.000466702,1.82e-08,18438.36858,764349.7379,978,0,10000,0,10000,1,0.653691,0,10000,0,0
"55",0.8,0.82,0,10000,1,21,0.00115328,1e-07,0.000467255,1.7e-08,18371.68923,749676.7373,979,0,10000,0,10000,1,0.65219,0,10000,0,0
"56",0.8,0.82,0,10000,1,23,0.001157994,1.07e-07,0.000469022,1.88e-08,18406.44913,692155.8898,977,0,10000,0,10000,1,0.650117,0,10000,0,0
"57",0.8,0.82,0,10000,1,21,0.001151732,1.24e-07,0.000466072,1.95e-08,18441.36615,814490.7777,979,0,10000,0,10000,1,0.650102,0,10000,0,0
"58",0.8,0.82,0,10000,1,29,0.001184383,1.22e-07,0.000479271,2.07e-08,18382.6484,686124.0791,971,0,10000,0,10000,1,0.653326,0,10000,0,0
"59",0.8,0.82,0,10000,1,32,0.001141595,1.13e-07,0.00046178,1.95e-08,18401.17635,714441.4917,968,0,10000,0,10000,1,0.648622,0,10000,0,0
"60",0.8,0.82,0,10000,1,21,0.001140859,1.09e-07,0.000463485,1.78e-08,18478.73949,748970.5967,979,0,10000,0,10000,1,0.653073,0,10000,0,0
"61",0.8,0.83,0,10000,1,22,0.001437031,1.99e-07,0.00058807,3.44e-08,17240.74435,845145.0219,978,0,10000,0,10000,1,0.671024,0,10000,0,0
"62",0.8,0.83,0,10000,1,21,0.001345367,1.3e-07,0.00055654,2.57e-08,17330.34462,792915.3253,979,0,10000,0,10000,1,0.651863,0,10000,0,0
"63",0.8,0.83,0,10000,1,22,0.001382511,1.34e-07,0.000566239,2.43e-08,17377.6653,784567.2453,978,0,10000,0,10000,1,0.639243,0,10000,0,0
"64",0.8,0.83,0,10000,1,21,0.001355836,1.18e-07,0.000558553,2.31e-08,17318.19692,741396.1376,979,0,10000,0,10000,1,0.65606,0,10000,0,0
"65",0.8,0.83,0,10000,1,22,0.001343171,1.18e-07,0.000557317,2.19e-08,17308.67146,814308.4526,978,0,10000,0,10000,1,0.655263,0,10000,0,0
"66",0.8,0.83,0,10000,1,21,0.001399207,1.76e-07,0.000576895,3.18e-08,17240.70872,821914.2331,979,0,10000,0,10000,1,0.674936,0,10000,0,0
"67",0.8,0.83,0,10000,1,22,0.001399063,1.76e-07,0.000569414,2.75e-08,17255.60678,721117.3844,978,0,10000,0,10000,1,0.650538,0,10000,0,0
"68",0.8,0.83,0,10000,1,22,0.001353558,1.44e-07,0.000558608,2.67e-08,17364.21355,820550.4452,978,0,10000,0,10000,1,0.663288,0,10000,0,0
"69",0.8,0.83,0,10000,1,22,0.001374791,1.51e-07,0.00057027,2.84e-08,17306.73306,727160.2101,978,0,10000,0,10000,1,0.663744,0,10000,0,0
"70",0.8,0.83,0,10000,1,21,0.001364866,1.41e-07,0.000562322,2.5e-08,17258.67487,873645.1035,979,0,10000,0,10000,1,0.663635,0,10000,0,0
"71",0.8,0.83,0,10000,1,21,0.001321014,1.28e-07,0.000551047,2.49e-08,17352.02256,770612.2928,979,0,10000,0,10000,1,0.655514,0,10000,0,0
"72",0.8,0.83,0,10000,1,21,0.001307376,1.28e-07,0.000541154,2.54e-08,17452.48103,799671.7204,979,0,10000,0,10000,1,0.655511,0,10000,0,0
"73",0.8,0.83,0,10000,1,21,0.001362151,1.41e-07,0.000561183,2.45e-08,17283.52205,724574.0977,979,0,10000,0,10000,1,0.657942,0,10000,0,0
"74",0.8,0.83,0,10000,1,23,0.001377422,1.8e-07,0.000568006,3.21e-08,17320.69065,863646.1952,977,0,10000,0,10000,1,0.654081,0,10000,0,0
"75",0.8,0.83,0,10000,1,21,0.001354127,1.48e-07,0.000562483,2.76e-08,17267.03692,913261.7258,979,0,10000,0,10000,1,0.667655,0,10000,0,0
"76",0.8,0.83,0,10000,1,21,0.001332261,1.44e-07,0.000553339,2.75e-08,17313.81436,753306.0343,979,0,10000,0,10000,1,0.672959,0,10000,0,0
